,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Boiler Bundles,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Range,Part Gas Council number,By Model Number,Application,Feature 3,Length (M),Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Boiler Section,Warranty,Pack Quantity,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,Gender,Material,Size,Connection Type 1,Attachment 3,Boiler Range,Attachment 4
57,P195746,Bosch pump group 100kW 3bar PRV (1),Bosch,651.0,"Designed for installation in Bosch brand boilers, this Bosch 100kW pump group includes a 3 bar PRV.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch pump group 100kW 3bar PRV (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/46/195746_wm.jpg,,,N,,,7736701865,Pump accessories,N,With 3 bar PRV,Suitable for use with Bosch boilers,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
58,P195788,Bosch plume management kit DN110/160 (1),Bosch,350.0,"Suitable for use with Condens boilers, this Bosch 110/160mm diameter plume management kit assists in redirecting boiler gases away from inhabited areas for reduced inconvenience and improved safety.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch plume management kit DN110/160 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/88/195788_wm.jpg,,,N,N/A,,7738113670,Plume Management Kit,N,For use with Condens 7000 WP,2 year warranty,,,"Plume management kit, Ø110/160",,,,,,,,,,,,,,,,,,,,,,2 years,1,785,N/A,N/A,N/A,N/A,,,,,,,
59,P117799,Vaillant ecoTEC 80;100;120 horizontal terminal 100/160mm,Vaillant,225.72,The Vaillant 110/160mm standard horizontal flue terminal is designed for the convenient fitting of ecoTEC boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant ecoTEC 80;100;120 horizontal terminal 100/160mm,,Outer rosette;Terminal duct - 910mm to face of outer wall;Inner rosette;87° elbow,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/99/117799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Vaillant_Commercial_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/77/99/117799.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Vaillant_Cmmrcl_System_Boiler_Brcr.pdf,,
60,P195784,Bosch elbow concentric DN110/160 45 degrees (1),Bosch,48.0,This Bosch DN110/160 45° concentric flue elbow is suitable for use with the commercial Condens 7000 WP boiler.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch elbow concentric DN110/160 45 degrees (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/84/195784_wm.jpg,,,N,,195 x 225 x 315 mm,7738113104,Flues and Accessories,N,Concentric type,Genuine Bosch part,,,,,For commercial use,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
61,P707524,Ambirad FLUE 33-54-101-FLUE1 flue dia 100mm 1mtr long,Ambirad,52.21,"Made of stainless steel, this Ambirad 100mm x 1M flue is compatible with VSXO and VSX boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ambirad FLUE 33-54-101-FLUE1 flue dia 100mm 1mtr long,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/28/598028_wm.jpg,,,N,,x  x,33-54-101-FLUE1,Flue,N,100mm x 1 Metre,Stainless steel flue,flue,n/a,,Used on the units advised for the gas to escape from the flue then outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,P114273,KESTON FRAME & HEADER LOW HEIGHT X2 DN65,Keston,1905.19,"This Keston Heat low height frame is intended for the modular or cascade installation of two Keston Heat boilers using DN65 pipework. Compact and manoeuvrable, this frame is easy to install and suitable for use in the replacement of existing outdated boilers.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> KESTON FRAME & HEADER LOW HEIGHT X2 DN65,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/73/114273_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keston_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Keston_HeatFrame-HeaderKit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,P411600,Vaillant flue pipe end DN60 White,Vaillant,8.11,A Vaillant 60mm DN60 flue pipe end piece in white. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant flue pipe end DN60 White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/00/411600_wm.jpg,,,N,,,20231442,,N,Vaillant spare part,White colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60mm,Flue Pipe,,,
64,P709033,Reznor SC-ADV controller MK3,Reznor,743.87,"Supplying cost efficient energy management, the Reznor MK3 controller is suitable for a wide range of applications, from small single heater installations right through to multi-zone systems in need of centralised control. Offering a variety of useful features, including frost protection, the MK3 is highly intuitive for reliable ease of operation.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Reznor SC-ADV controller MK3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/33/709033_wm.jpg,,,N,,x  x,B-SC3ML-MZR,Controller,N,"Suitable for use with selected FSE-G, FSE-O and PV-E cabinet heaters",Compatible with select UDSA-4E warm air unit heaters,,,,,Compatible with selected UDSB centrifugal fan unit heaters,,Suitable for use with select ULSA condensing axial fan unit heaters,Also suitable for a range of VN/VD/HN/HD/RN/RD cabinet heaters,Easy to program and use,Suitable for heating and cooling units,Frost protection for factory installations,Optional password protection,,,,,,,,,,,,,,,,,,,,,,,,,,
65,P195780,Bosch horizontal flue kit DN110/160 (1),Bosch,151.0,Flue accessory available for use with the Condens 7000 WP.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch horizontal flue kit DN110/160 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/80/195780_wm.jpg,,,N,N/A,320 x 380 x 580 mm,7738113669,Flues and Accessories,N,DN 110/160 size,For horizontal installation,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
66,P449306,Ambirad L102013 filter,Ambirad,47.88,This Ambirad LR 12-46 filter pad is for use in a BCH lid.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ambirad L102013 filter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/06/449306_wm.jpg,,,N,,x  x,L102013,Filter,N,For BCH lid,For commercial units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P195782,Bosch pipe concentric DN110/160 1.0mtr (1),Bosch,51.0,"This Bosch DN110/160, 1M length concentric flue pipe is suitable for use with the commercial Condens 7000 WP boiler.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch pipe concentric DN110/160 1.0mtr (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/82/195782_wm.jpg,,,N,N/A,170 x 170 x 1070 mm,7738113100,Flues and Accessories,N,Concentric type,1M in length,,,,,Genuine Bosch part,,For commercial use,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
68,P195769,"Bosch flange connection incl victaulic 4"" (1)",Bosch,407.0,"This Bosch 4"" Victaulic flange connection is suitable for use with boilers in the GC7000 WP range.","Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch flange connection incl victaulic 4"" (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/69/195769_wm.jpg,,,N,,,7736701913,Flange Connection,N,,,,,,,,,,,,,,,,,,,,,,,,,,,Unavailable,1,,,,,,,,,,,,
69,P195779,Bosch vertical flue kit DN110/160 Black (1),Bosch,151.0,Flue accessory available for use with the Condens 7000 WP.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch vertical flue kit DN110/160 Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/79/195779_wm.jpg,,,N,N/A,310 x 310 x 2015 mm,7738113668,Flues and Accessories,N,DN 110/160 size,For vertical installation,,,,,Black colour,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
70,P114525,Warmflow F3 extension pipe 1000mm,Warmflow,78.88,"This Warmflow 3543 1M flue extension pipe is suitable for use with the Argentis internal oil boiler flue system.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Warmflow F3 extension pipe 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/25/NW-114525_wm.jpg,,,N,,1000mm x 130mm,F3UK,Flue Extension Pipe,N,White,1000mm,,,,For use with Warmflow Agentis internal oil boiler flue systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,P195767,Bosch basic boiler floor set (1),Bosch,264.0,"Used in the fitting of a single Condens 7000 WP boiler, this Bosch basic boiler floor set provides excellent installation flexibility. Fitted with adjustable feet for levelling on an uneven floor and supplied complete with mounting strips and insulation, the base frame is simply fitted to the base of a boiler for free positioning in the most convenient location. For added usability, several bases can be connected for cascade installations.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch basic boiler floor set (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/67/195767_wm.jpg,,,N,,,7736701912,Boiler Floor Set,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,660,,,,,,,,,,,
72,P455944,Powrmatic NV0162100/P25/V2 pactrol P25 kit,Powrmatic,379.39,This Powrmatic Pactrol P24 upgrade kit is a suitable replacement for Pactrol multifunction control boards MK3 and MK4.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Powrmatic NV0162100/P25/V2 pactrol P25 kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/44/455944_wm.jpg,,,N,,220 x 180 x 230 mm,NV0162100/P25/V2,PCB Kit,N,Upgrade kit,For use with NV and NVS suspended gas heaters,,,,Replacement Controls for Powrmatic NV and NVS Gas unit Heaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,P418308,Wolseley Packs service pack Baxi duotec 24 and 28 vessel kit,Wolseley Packs,51.04,TBC,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Wolseley Packs service pack Baxi duotec 24 and 28 vessel kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/08/418308_wm.jpg,,,N,,,418308 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
