,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Range,Nominal Heating (kW),Max Sound Pressure,Nominal Cooling (kW),Feature 7,Warranty,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,UK Sensible Cooling,Max Airflow (m/min),Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Attachment 5,Attachment 6,Attachment 7
49,P676302,Fujitsu Standard AOYG72LRLA R410A Multi Split Outdoor Unit 3Phase 19KW,Fujitsu,2570.7,"Compact and easy to install, this Fujitsu 19kW three phase multi-split outdoor air conditioning unit helps buildings to meet strict environmental requirements by reducing emissions and the use of refrigerants with a high Global Warming Potential.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG72LRLA R410A Multi Split Outdoor Unit 3Phase 19KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/03/NW-676302_676303_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fujitsu_AOYG_LRLA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_Multi-Split_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fujitsu_AOYG_LRLA_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
50,P610065,Fujitsu AOEG18KMTA 5KW Standard Wall Outdoor,Fujitsu,469.25,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 5kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG18KMTA 5KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/65/610065_wm.jpg,36,1,R-32,N,290,16,1/2,1/4,AOEG18KMTA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
51,P700780,Fujitsu AOEG12KATA eco universal outdoor unit 3.5kW - R32,Fujitsu,377.0,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG12KATA eco universal outdoor unit 3.5kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/80/700780_wm.jpg,25 kg,1,R-32,N,290,10,0.375,0.25,AOEG12KATA,Outdoor Unit,N,9.5kW Economy Outdoor Unit,R32,Three Phase,,,,,,,,4.1,50 dB,3.5,,3 Years,A+,3.27,A++,2.49,1630 M/min,,,,,,,,
52,P700815,"Fujitsu ""AOEG09KVCA"" eco outdoor floor unit 2.6kW - R32",Fujitsu,513.53,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG09KVCA"" eco outdoor floor unit 2.6kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/700815_wm.jpg,31 kg,1,R-32,N,290,10,0.375,0.25,AOEG09KVCA,Outdoor Unit,N,High Energy Saving,Flexible and easy installation,Flexible pipe connection enables draining and piping in 6 directions,Smart device control (optional),,,,10ºC heating operation,Low ambient operation,,3.5,47 dB,2.5,,3 Years,A+,2.49,A++,2.24,1530 M/min,,,,,,,,
53,P700783,Fujitsu AOEG22KATA eco universal outdoor unit 6kW - R32,Fujitsu,592.86,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG22KATA eco universal outdoor unit 6kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/83/700783_wm.jpg,36 kg,1,R-32,N,290,16,0.5,0.25,AOEG22KATA,Outdoor Unit,N,Nom. Cooling Capacity: 6.0kW,Nom. Heating Capacity: 7.0kW,Height: 632mm,Width: 799mm,,,,Depth: 290mm,Weight: 36kg,,7,53 dB,6,"Pipe Sizes: 1/4"" & 1/2""",3 Years,A+,5.65,A++,3.9,2240 M/min,Max Pipe Run (Height Difference): 25 (20) m,,,,,,,
54,P700789,Fujitsu AOEG36KQTA 3P eco universal outdoor unit 9.5kW - R32,Fujitsu,1055.34,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG36KQTA 3P eco universal outdoor unit 9.5kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/89/700789_wm.jpg,53 kg,3,R-32,N,320,16,0.625,0.375,AOEG36KQTA,Outdoor Unit,N,9.5kW Economy Outdoor Unit,R32,Three Phase,,,,,,,,10.8,55 dB,9.5,,3 Years,A+,9.03,A++,6.49,3750 M/min,,,,,,,,
55,P700785,Fujitsu AOEG30KATA eco universal outdoor unit 8.5kW - R32,Fujitsu,753.99,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG30KATA eco universal outdoor unit 8.5kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/85/700785_wm.jpg,52 kg,1,R-32,N,320,25,0.625,0.375,AOEG30KATA,Outdoor Unit,N,8.5kW Economy Outdoor Unit,R32,Single Phase,,,,,,,,10,55 dB,8.5,,3 Years,A+,8.08,A++,6.23,3750 M/min,,,,,,,,
56,P700792,"Fujitsu ""AOEG09KBTB"" standard universal outdoor unit 2.5kW - R32",Fujitsu,458.18,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG09KBTB"" standard universal outdoor unit 2.5kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/92/700792_wm.jpg,32 kg,1,R-32,N,290,10,0.375,0.25,AOEG09KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,3.2,46 dB,2.5,,3 Years,A+,2.37,A++,1.86,1480 M/min,,,,,,,,
57,P700797,"Fujitsu ""AOEG24KBTB"" standard universal outdoor unit 6.8kW - R32",Fujitsu,870.23,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG24KBTB"" standard universal outdoor unit 6.8kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/97/700797_wm.jpg,42 kg,1,R-32,N,315,16,0.5,0.25,AOEG24KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,7.5,54 dB,6.8,,3 Years,A+,6.63,A++,4.74,2700 M/min,,,,,,,,
58,P700800,"Fujitsu ""AOEG45KBTB"" standard universal outdoor unit 12kW - R32",Fujitsu,1327.78,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG45KBTB"" standard universal outdoor unit 12kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/700800_wm.jpg,67 kg,1,R-32,N,320,30,0.625,0.375,AOEG45KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,13.5,57 dB,12.1,,3 Years,A+,11.54,A++,9.52,4450 M/min,,,,,,,,
59,P700056,Fujitsu AOEH14KGCG 4KW Hi Spec Wall Mounted Outdoor,Fujitsu,563.96,"Smartly designed for unobtrusive wall-mounting, the Fujitsu Hi Spec 4kW outdoor air conditioning unit has a compact, practical design. Using DC multi-inverter technology, this high performing air con unit reduces energy consumption, helping to maximise efficiency in a commercial or domestic setting.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH14KGCG 4KW Hi Spec Wall Mounted Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/56/700056_wm.jpg,3.2,1,R-32,N,290,15,.3/8,1/4,AOEH14KGCG,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
60,P700821,Fujitsu AOEG24KLCA eco outdoor unit 7.1kW,Fujitsu,729.39,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG24KLCA eco outdoor unit 7.1kW,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/21/700821_wm.jpg,38 kg,1,R-32,N,290,20,0.5,0.25,AOEG24KLCA,Outdoor Unit,N,Reduced width and compact design,On/Off Program timer,Powerful operation,Economy operation,,,,Low ambient operation,,,8,57 dB,7.1,,3 Years,A+,6.8,A++,4.63,3030 M/min,,,,,,,,
61,P700798,"Fujitsu ""AOEG30KBTB"" standard universal outdoor unit 8.5kW - R32",Fujitsu,1009.83,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG30KBTB"" standard universal outdoor unit 8.5kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/98/700798_wm.jpg,52 kg,1,R-32,N,320,25,0.625,0.375,AOEG30KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,10,55 dB,8.5,,3 Years,A+,8.08,A++,6.39,3750 M/min,,,,,,,,
62,P700795,"Fujitsu ""AOEG18KBTB"" standard universal outdoor unit 5.2kW - R32",Fujitsu,675.89,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG18KBTB"" standard universal outdoor unit 5.2kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/95/700795_wm.jpg,36 kg,1,R-32,N,290,16,0.5,0.25,AOEG18KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,6,50 dB,5.2,,3 Years,A+,5.01,A++,3.69,2160 M/min,,,,,,,,
63,P700796,"Fujitsu ""AOEG22KBTB"" standard universal outdoor unit 6kW - R32",Fujitsu,790.89,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG22KBTB"" standard universal outdoor unit 6kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/96/700796_wm.jpg,38 kg,1,R-32,N,290,16,0.5,0.25,AOEG22KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,7,51 dB,6,,3 Years,A+,5.85,A++,4.3,2240 M/min,,,,,,,,
64,P700817,"Fujitsu ""AOEG14KVCA"" eco outdoor floor unit 4.2kW - R32",Fujitsu,650.67,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG14KVCA"" eco outdoor floor unit 4.2kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/17/700817_wm.jpg,38 kg,1,R-32,N,290,16,0.375,0.25,AOEG14KVCA,Outdoor Unit,N,High Energy Saving,Flexible and easy installation,Flexible pipe connection enables draining and piping in 6 directions,Smart device control (optional),,,,10ºC heating operation,Low ambient operation,,5.2,51 dB,4.2,,3 Years,A+,4.03,A++,2.92,2210 M/min,,,,,,,,
65,P700779,Fujitsu AOEG09KATA eco universal outdoor unit 2.5kW - R32,Fujitsu,341.94,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG09KATA eco universal outdoor unit 2.5kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/79/700779_wm.jpg,23 kg,1,R-32,N,290,10,0.375,0.25,AOEG09KATA,Outdoor Unit,N,Nom. Cooling Capacity: 2.5kW,Nom. Heating Capacity: 3.2kW,Height: 541mm,Width: 663mm,,,,Depth: 290mm,Weight: 23kg,,3.2,48 dB,2.5,"Pipe Sizes: 1/4"" & 3/8""",3 Years,A+,2.37,A++,1.86,1550 M/min,Max Pipe Run (Height Difference): 15 (15) m,,,,,,,
66,P697548,Fujitsu Standard AOYG54KBTB R32 Outdoor Unit 13.3KW,Fujitsu,1383.75,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 13.4kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG54KBTB R32 Outdoor Unit 13.3KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/48/NW-697547_697548_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AUXG24_Technical_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/ct/Fujitsu_R32_Medium_Pressure_Duct.pdf,,,,,,,,,,,,,,,,,,,,,
67,P700001,Fujitsu Standard AOYH30KMTB R32 Outdoor Unit - Single Phase 8.0KW,Fujitsu,802.58,"Helping to minimise waste and cost through efficient operation, the Fujitsu Standard Series High Efficiency 8kW single phase outdoor unit offers compatibility with R32 refrigerant.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYH30KMTB R32 Outdoor Unit - Single Phase 8.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/_a/700001_A_wm.jpg,52.0 Kg,1,R-32,N,320,25,5/8 inch,3/8 inch,AOYH30KMTB,Outdoor Unit,N,For outdoor installation,Offers nominal cooling capacity of 8.0kW,Offers nominal heating capacity of 8.8kW,"For 3/8"" and 5/8"" pipe sizes",,,,Maximum pipe run of 50M with 30M height difference,A++ rated energy efficiency for cooling,Standard,8.8,55 dB(A),8.0,A+ rated energy efficiency for heating,3 Years (Standard),A+,7.48,A++,5.79,3750,3 year warranty,,,,,,,
68,P697544,Fujitsu Standard AOYG24KBTB R32 Outdoor Unit 6.8KW,Fujitsu,870.23,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 6.8kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG24KBTB R32 Outdoor Unit 6.8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/44/NW-697542_697544_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AUXG24_Technical_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/ct/Fujitsu_R32_Medium_Pressure_Duct.pdf,,,,,,,,,,,,,,,,,,,,,
69,P650370,FUJ VRF 2.8KW WALL/M I/D ASYA009GCGH,Fujitsu,495.84,"A user-friendly unit, the Fujitsu VRF wall-mounted indoor duct air conditioning unit supplies 2.8kW in cooling mode and 3.2kW for space heating. Environmentally friendly, this efficient air conditioning unit has a compact, flat-fronted design and operates quietly, making it ideal for disturbance-free operation in smaller size rooms, including offices, bedrooms and living rooms.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> FUJ VRF 2.8KW WALL/M I/D ASYA009GCGH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/70/NW-650370_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_ASYA009GCGH_Operation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fujitsu_ASYA009GCGH_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_ASYA009GCGH_Install.pdf,,,
70,P602058,Fujitsu Eco Universal AOYG36KATA R32 Outdoor Unit 9.5KW,Fujitsu,938.49,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal 9.5kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Eco Universal AOYG36KATA R32 Outdoor Unit 9.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/58/NW-602057_602058_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/no/my/Fujitsu_AOYG-KATA_Cassette_Economy.pdf,,,,,,,,,,,,,,,,,,,,,,
71,P686680,Fujitsu Multi Split AOYG14KBTA2 R32 2 Room Outdoor Unit 4KW,Fujitsu,688.8,"Providing the option to install with a variety of indoor unit types with different capacities, the Fujitsu R-32 multi-split inverter 4kW outdoor air conditioning unit helps installers to create bespoke systems for their clients' needs. Using DC multi inverter technology, this high performance unit promises lower energy consumption, offering energy savings of up to 50% compared to conventional models. The Fujitsu R-32 multi split reaches optimised temperatures quickly and evenly across units.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Multi Split AOYG14KBTA2 R32 2 Room Outdoor Unit 4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/81/NW-686680_686681_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fujitsu_AOYG_KBTA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_Multi-Split_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,
