,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Boiler Range,Part Gas Council number,By Model Number,Feature 1,Feature 2,Feature 3,Operating Temperature,Range,Warranty,Pack Quantity,Depth (mm),Fuel Type,Weight,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,For Use With,Body Material,Dimensions mm (H x W x D),Application,Feature 9,Voltage (V),Material,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Colour,Connection Type,Thickness,Size,Operating Temperature Range (C)
442,P415043,Viessmann burner gasket (WB2B/B2HX) 299 x 5.6mm,Viessmann,57.09,"A Viessmann gasket designed for the gas assembly of Vitodens 200-W WB2B System, Vitodens 200-W WB2C System and Vitodens 200-W B2HA System boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann burner gasket (WB2B/B2HX) 299 x 5.6mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/43/415043_wm.jpg,,,N,"80kW, 45kW, 60kW, 105kW, 45kW, 60kW, 45kW, 60kW, 80kW, 105kW, 80kW, 105kW, 60kW, 45kW, 80kW, 100kW, 45kW, 60kW, 60kW, 49kW, 80kW, 100kW",Gas Assembly,7836178,Gasket,N,"Vitodens 200-W WB2B System, Vitodens 200-W WB2C System, Vitodens 200-W B2HA System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,P420922,Viessmann printed circuit board,Viessmann,359.17,"A Viessman brand spare, this control console, or PCB, is compatible with the Vitodens range of boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/22/NW-420922_wm.jpg,,,N,Vitodens 100-W BPJA 29kW Combi BoilerVitodens 100-W BPJA 25kW Combi Boiler,Control Panel,7841522,Control Console (PCB),N,Vitodens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,P411361,Heatline 3-way valve body,Heatline,177.93,"This Heatline 3-way valve body is a genuine replacement part suitable for CaprizPlus and Monza boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatline 3-way valve body,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/61/411361_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Heatline_CaprizPlus_24_28_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,P498465,Ferroli fan assembly - 80watt (30kw),Ferroli,205.3,"A replacement fan assembly for Ferroli Combi and DOMIcompact boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli fan assembly - 80watt (30kw),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/65/498465_wm.jpg,,,N,"F 30 B, F 30 B",Fan Combustion Chamber,39817710,Fan Assembly,N,CombiDomicompact,H41374,F 30 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,P416434,Viessmann fixing clips,Viessmann,7.5,"This Viessmann mounting clip set includes parts designed to keep the heat exchanger in Vitodens boilers securely in one piece, preventing items from becoming loose.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann fixing clips,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/34/416434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Viessmann_Parts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,P420800,Heatrae Sadia 95615065 main PCB (for Electromax),Heatrae Sadia,92.99,"This printed circuit board is an official Baxi part designed for Electromax and Electromax ErP boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatrae Sadia 95615065 main PCB (for Electromax),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/420800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Electromax_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,P445767,Johnson and Starley BOS00036 thermocouple,Johnson and Starley,30.0,"A Johnson and Starley thermocouple for use in Balmforth, BD, BSD, EG, SJ, J15/22, J25/32, J70/90, JA, JGD, JT, JWD, JXD, BJ, D, SD, CG, JAH, JB, JTRS, BG, Heatrae, Hi-Spec, J54/64, JU, U, J55/65 and JG appliances.  Made of two metals, each producing a slight electrical charge when heated on one side, the thermocouple is involved in the opening and closing of the boiler's gas valve.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Johnson and Starley BOS00036 thermocouple,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/67/445767_wm.jpg,,,N,"01-08-1950, BD29 WITH ECONOMAIRE 4, BSD19-25 WH WITH ECONOMAIRE 4, EG72 R, EG90 H, EG90 R, MCCLARY SJ 20-30 WARM AIR HEATER, J15-22 Mk3-ELJ, J15-22 MK3-MAF-JAN, J25-32 MK2-MAF, J25-32 Mk3-MAF-ELJ, J25-32 Mk3-MAF-HIJ, J25-32R MK2-JAN AIR-WATER HEATER, J25",Control Panel,BOS00036,Thermocouple,N,"Balmforth, BD, BSD, EG, SJ, J15/22, J25/32, J70/90, JA, JGD, JT, JWD, JXD, BJ, D, SD, CG, JAH, JB, JTRS, BG, Heatrae, Hi-Spec, J54/64, JU, U, J55/65, JG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,P425541,Potterton electrode kit assembly,Potterton,110.85,"This Potterton electrode assembly kit is for use in the brand's Powermax boiler range. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Potterton electrode kit assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/41/425541_wm.jpg,,,N,"Powermax 24 HE, Powermax He 115, Powermax He 150, Powermax He 85",Gas Assembly,5106283,Electrode Assembly Kit,N,Powermax,E83468,"Powermax He 115,Powermax 24 HE Boiler,Powermax He 85,Powermax He 150",,,,,,,,,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
450,P310184,Honeywell Home hw home vc4613 ag100 22mm zone valve,Honeywell Home,142.82,"VC actuator that controls central heating and cooling, fan coil systems, radiators and convectors. Depending on the model, it can be controlled by a low voltage SPST or SPDT switch, pulse-width modulated 24 Vac signal, or floating input, modulating controller.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Honeywell Home hw home vc4613 ag100 22mm zone valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/84/310184_wm.jpg,,,N,,Gas Assembly,VC4613AG1000/U,Gas Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,P484456,Clesse CSR485 CSR 485 single cylinder full installation kit regulator and hose,Clesse,69.36,"Fitted with a consumer safety protection system to meet UK standards, this Clesse CSR485 low pressure single cylinder regulator with hose is suitable for all types of LPG cylinder. It is recommended for commercial, domestic, holiday home and park home use.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Clesse CSR485 CSR 485 single cylinder full installation kit regulator and hose,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/56/484456_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PD74585,Heatrae Sadia pressure relief valve,Heatrae Sadia,28.96,"A genuine Heatrae Sadia part, this pressure relief valve is compatible with Electromax, Electromax ErP and Electromax Solar units.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatrae Sadia pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/85/D74585_wm.jpg,,,N,"Electromax 180Ltr 6KW, Electromax 9kW 180L Underfloor ErP, Electromax 180Ltr 9KW, Electromax 6kW 180L Underfloor ErP, Electromax U/F 180Ltr 9KW, Electromax Solar 185 Radiator South, Electromax 6kW 180L Radiator ErP, Electromax U/F 180Ltr 6KW, Electromax",Gas Assembly,95605036,Pressure Relief Valve,N,"Electromax, Electromax ErP, Electromax Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,P438845,Ferroli air pressure switch,Ferroli,102.93,"This air pressure switch is designed for use in Ferroli's DOMIcompact, Hawk, Optima, Talent, Xignal, Tempra, Combi, DOMIcondens and Roma boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll g",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Ferroli air pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/45/438845_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Ferroli_F24_B_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,P181322,Tesla Tun dry trap tundish 15 x 32mm,Tesla,16.86,Prevents odours or gasses from entering the building. Eliminates the need to install both a tundish and a dry trap. Operates visually under full-bore discharge or a few drips. Ideal for use with water heaters or boiler relief valve discharge. Supplied with nuts and olives.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Tesla Tun dry trap tundish 15 x 32mm,,Dry trap tunndish,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/22/NW-181322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Tesla_Teslatun_Dry_Trap_Tundish_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,P416445,Viessmann air vent with shut off base,Viessmann,23.79,"An automatic air vent designed for the pump section of Viessmann Vitodens and Vitovalor boilers.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann air vent with shut off base,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/45/416445_wm.jpg,,,N,"200 WB2B 26kW Combi, 200 WB2B 35kW Combi, Vitovalor 300-P C3TB 26kW, 200 WB2B 26kW System, 200 WB2B 30kW System, 200 WB2B 30kW Combi, 200 WB2B 19kW System, 200 WB2B 35kW System, Vitovalor 300-P C3TB 19kW, 333 WS3A 26kw",Pump,7819971,Air Vent,N,"Vitodens, Vitovalor",,"200 WB2B 26kW System,Vitovalor 300-P C3TB 19kW,200 WB2B 30kW Combi,200 WB2B 35kW System,200 WB2B 35kW Combi,200 WB2B 19kW System,200 WB2B 30kW System,333 WS3A 26kw,200 WB2B 26kW Combi,Vitovalor 300-P C3TB 26kW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,P400602,Heatline diverter valve repair kit,Heatline,67.5,"A genuine Heatline valve repair kit suitable for use in the diverter valve of the brand's C Series, Capriz, Compact, Hydroline, S Series, Solaris and Vizo boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatline diverter valve repair kit,,Diverter valve spindle and seals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/02/400602_wm.jpg,,,N,"C 28, 25, C28, B24, S30 Compact, 24PCS, C 24, 28, C24, S24 Compact, 24, 24, C 28, B24, 25, S30 Compact, 24, C 24, 28, S24 Compact, 24",Diverter Valve,D003202082,Valve Repair Kit,N,"C Series, Capriz, Compact, Hydroline, S Series, Solaris, Vizo",725723,"C 24,S30 Compact,S24 Compact,24,25,B24,28,24PCS,C 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,P142288,Worcester Bosch 7101628 plate heat exchanger,Worcester Bosch,162.76,"This Worcester Bosch replacement plate heat exchanger is suitable for Worcester Bosch Buderus 500 24C and 28C boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system. A secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch 7101628 plate heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/88/142288_wm.jpg,,,N,"24C, 28C",Heat Exchanger,7101628,Heat Exchanger,N,Buderus 500,J08174,"24C,28C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,P410926,Heatline flange gasket,Heatline,20.41,"This Heatline flange gasket is designed as a spare for the gas assembly of CaprizPlus and Monza boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatline flange gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/26/410926_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Heatline_CaprizPlus_24_28_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,P430771,Viessmann filling with backflow preventer,Viessmann,76.11,"A Viessmann spare, this flow return isolation valve is suitable for Vitodens boilers.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann filling with backflow preventer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/71/430771_wm.jpg,,,N,Vitodens 100-W B1HC 26kW System BoilerVitodens 100-W B1HA 35kW System BoilerVitodens 100-W B1HA 30kW System BoilerVitodens 100-W B1HA 26kW System BoilerVitodens 100-W B1HA 19kW System BoilerVitodens 100-W B1HC 19kW System BoilerVitodens 100-W WB1C 30kW C,,7855184,Flow Return Isolation Valve,N,Vitodens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,P416402,Viessmann 7823844 expansion vessel,Viessmann,127.26,"A replacement Viessmann expansion vessel for Vitodens boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann 7823844 expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/02/416402_wm.jpg,,,N,"100 WB1A 30kW Combi, 100 WB1A 24kW System, 100 WB1A 24kW Combi",Expansion Vessel,7823844,Expansion Vessel,N,Vitodens,H38599,"100 WB1A - 30kw Combi,100 WB1A - 24kw Combi,100 WB1A - 24kw System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,P408352,Buderus sealing condensate collector,Buderus,20.48,"A spare condensate collector seal for use in the heat exchanger of the Buderus GB162 boiler.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Buderus sealing condensate collector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/52/408352_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Buderus_GB162_LB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,P484580,Heatline valve set,Heatline,222.43,"A Heatline valve set for the isolation valve of CaprizPlus, Monza, Sargon, Vizo, S Series, Solaris, Capriz, Star, C Series and Hydroline boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatline valve set,,"Connection tap set HW & CH inlet and outlet, and gas inlet",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/80/484580_wm.jpg,,,N,"28, 28a, 24, 35, Plus 24, S30 Compact, 20S, 30, 30PCS, S24 System, 24PC, 28, 28S, 24, S24 Compact, 24PCS, 24, 24, C 28, 25S, 30PC, 24, 24a, S30 System, 24S, 30S, 24, 24a, 28a, B24, S20 System, C 24, 25, 28, 18S",Isolation Valve,D002160280,Valve set,N,"CaprizPlus, Monza, Sargon, Vizo, S Series, Solaris, Capriz, Star, C Series, Hydroline",H09450,"24,25,B24,28,30 S,30PC,S24 System,Plus 24,S30 System,28S,18 S,S20 System,24S,S24 Compact,28a,30,C 28,24a,25 S,C 24,24PC,35,20 S,30PCS,24PCS,S30 Compact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,P405589,Altecnic safety relief valve,Altecnic,18.65,"This Worcester Bosch 3 bar safety relief valve is suitable for SBi Series, CDi Series, i Junior Series, i Series, CDiXtra and Bosch boilers. It is designed to control pressure in a closed system, relieving a build-up to avoid damage or malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Altecnic safety relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/89/405589_wm.jpg,,,N,,Gas Assembly,W-122-1033,Pressure Valve,N,"SBi Series, CDi Series, i Junior Series, i Series, CDiXtra Series, Bosch",n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
