,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Attachment 1,Attachment 2,Feature 1,Feature 2,Fuel Type
69,P781600,Potterton 8402906 gas valve,Potterton,141.86,"A genuine Potterton spare, this gas valve is suitable for use in Fireside, Kingfisher, Kingfisher 2 and Kingfisher MkII models.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 8402906 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/00/781600_wm.jpg,N,"35/51 Bbu Lpg, Cf100, Cf80, Rs100, Rs60, Rs80, Cf100, Cf40, Cf40 (Ttb), Cf50, Cf60, Cf80, Rs100, Rs100 (Ttb), Rs60, Rs60 (Ttb), Rs80, Rs80 (Ttb), Cf100 Mkii, Cf100 Mkii Ss, Cf40 Mkii, Cf40 Mkii Ss, Cf50 Mkii, Cf50 Mkii Ss, Cf60 Mkii, Cf60 Mkii Ss, Cf80 M",Gas Assembly,"Fireside, Kingfisher, Kingfisher 2, Kingfisher MkII",394151,402906,Gas Valve,N,"Cf100 Mkii,Cf80,Rs80 Mkii Ss,CF 60,CF 50,Rs100,35/51 Bbu Lpg,CF 40,Cf40 Mkii,Cf80 Mkii Ss,Rs100 Mkii Ss,Cf80 Mkii,Cf40 (T,Rs60 (Ttb),Rs60 Mkii,RS 60,Cf40 Mkii Ss,Cf100,Rs60 Mkii Ss,Rs100 Mkii,Cf100 Mkii Ss,Cf50 Mkii Ss,Cf60 Mkii Ss,Rs80",,,,,
70,P453175,Potterton 5132366 electrode,Potterton,55.85,"A Baxi brand electrode kit for use in Potterton Solo HE and HE A, Gold and Promax boiler ranges. The electrode creates a spark to ignite the fuel supplied by a boiler. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame. To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5132366 electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/75/453175_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Gold_FSB_30_HE_Installation.pdf,,,,
71,P797343,Potterton burner feed pipe,Potterton,24.75,"This Potterton burner feed pipe is a spare part for use in 100 He, 50 He, 80 He, Combi (Condensing), Platinum, Solo HE and HE A boilers. It can also be used in Main HE A, Main Heat ErP, Gold, Gold ErP, Precision, Promax, Promax SL and Promax SL ErP appliances.  In a boiler unit a pipe either allows water into a heating unit, including the mains water supply and the pipework on a wall jig, or is found within an appliance and carries water between the various mechanisms that require it, including the diverter valve and heat exchanger.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton burner feed pipe,,Pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/43/797343_wm.jpg,N,"100/2 He Plus, System 100 He Plus, 50 He Plus, 80 He Plus, Combi 100 He Plus, Combi 80 He Plus, 15 HE, 24 HE, 12HE, 12HE A, 15HE, 15HE A, 18HE, 18HE A, 24HE, 24HE A, 30HE, 30HE A, 12HE IE, 15HE IE, 18HE IE, 24HE IE, 30HE IE, 12 ErP IE, 15 ErP IE, 18 ErP",Hydraulics,"100 He, 50 He, 80 He, Combi (Condensing), Platinum, Solo HE & HE A, Main HE A, Main Heat ErP, Gold, Gold ErP, Precision, Promax, Promax SL, Promax SL ErP",H13940,5107427,Pipe,N,"12HE A,24 HE,Combi 80 He Plus,30 HE,12HE,System 100 He Plus,18HE A,30 ErP IE,24HE IE,100/2 He Plus,H 15,15 ErP IE,18 ErP IE,12HE IE,15HE A,Main 30 Heat ErP,Main 15 Heat ErP,Gold Heat ErP 24,24HE A,18HE,30HE A,15HE,80 He Plus,BG Precis,30HE IE",,,,,
72,P470219,Potterton printer circuit board,Potterton,224.63,"This printed circuit board box is suitable for use in Potterton's Kingfisher Mf and Kingfisher boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton printer circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/19/470219_wm.jpg,N,"100Rsl, 40Cfl, 50Rsl, 70Rsl, 90Rsl, 40 Cfl (Not Produced), 90Cfl, 80Rsl, 70Cfl, 100Cfl, 50Cfl, 60Cfl, 60Rsl, 80Cfl",Control Panel,"Kingfisher Mf, Kingfisher",E02365,900312,Printed Circuit Board Control Unit,N,"100Cfl,60Cfl,60Rsl,100Rsl,90Cfl,70Rsl,70Cfl,90Rsl,50Cfl,50Rsl,40 Cfl (Not Produced),80Cfl,40Cfl,80Rsl",,,,,
73,P451540,Potterton monitor ignition,Potterton,314.74,"A Potterton spare, this monitor ignition is for use in the control panel of Netaheat boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton monitor ignition,,Printed Circuit Box,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/40/451540_wm.jpg,N,"10/16E (Serial 1000 +), 16/22E, 6/10E",Control Panel,Netaheat,336708,407676,Printed Circuit Board,N,"6/10E,16/22E,10/16E (Serial 1000 +)",,,,,
74,P795386,Potterton 655866 fan,Potterton,545.45,"This replacement fan is designed for use in Potterton Paramount Two, Paramount Three, Paramount Four and Paramount Five boilersunits.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 655866 fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/86/795386_wm.jpg,N,"Paramount Five - 115 kW, Paramount Three - 40 kW, Paramount Three - 60 kW, Paramount Two - 95 kW, Paramount Four - 80 kW, Paramount Two - 30 kW, Paramount Five - 30 kW, Paramount Five - 95 kW, Paramount Four - 60 kW, Paramount Three - 95 kW, Paramount Fi",Fan Combustion Chamber,"Paramount Five, Paramount Three, Paramount Two, Paramount Four",,655866,Fan,N,"Paramount 3,Paramount 2",,,,,
75,P777635,Potterton combustion chamber side 3 insulation,Potterton,7.3,"This Potterton RCF side insulation is suitable for installation in the combustion chamber of Performa SL, Suprima and Main HE boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton combustion chamber side 3 insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/35/777635_wm.jpg,N,"60L, 70HE, 80L, Main Heat Only 24 HE, 21 SL, 24 SL, 40HE, 40L, 60HE, Main Heat Only 12 HE, 12 SL, 15 SL, 9 SL, 100L, 80HE, Main Heat Only 18 HE, Main Heat Only 9 HE, 18 SL, Main Heat Only 15 HE, 30HE, 50L, 30L, 50HE, 70L",Fan Combustion Chamber,SuprimaMain HEPerforma SL,114840,5000533,Insulation,N,"50HE,40HE,24 HE,30 HE,12HE,100L,21 SL,60HE,30L,70HE,24 SL,80HE,40L,12 SL,50L,60L,70L,18HE,80L,15HE,9 SL,15 SL,9 HE,18 SL",,,,,
76,P452977,"Potterton automatic air vent 3/8""",Potterton,10.01,"A Potterton brand replacement part, this 3/8"" automatic air vent can be used in Combi, Puma and Ultra 2 boilers.  A central heating safety device, the automatic air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.","Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton automatic air vent 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/77/452977_wm.jpg,N,"Combi 100, Combi 80, Ecotherm Eg, Ecotherm Egc, Ecotherm Egcv, Ecotherm Egv, Phoenix, 100 (Sit/Honeywell), 100E (Sit/Honeywell), 80 (Sit/Honeywell), 80E (Sit/Honeywell), Puma Flowsure +, 30, 40, 50, 60, 80, 30 Prog, 30Dv, 30Dv Prog, 40 Prog, 40Dv, 40Dv P",Pump,"Combi, Puma, Ultra 2",379344,10/18728,Air Vent,N,"60 Prog,30D,Ecotherm Egc,40 Prog,100 (Sit/Honeywell),80E (Sit/Honeywell),Ecotherm Egcv,30Dv,Phoenix,100E (Sit/Honeywell),50,80 (Sit/Honeywell),Combi 100,30,40Dv Prog,Combi 80,Puma Flowsure +,80Dv Prog,30 Prog,40Dv,80,60Dv Prog,Ecotherm Egv,40,Ecotherm Eg",,,,,
77,P795383,POTT 624374 BURNER GASKET (SET),Potterton,202.41,"A Potterton part, this burner gasket is specifically for use in Eurocondense boilers.  Washers, O-rings and gaskets are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> POTT 624374 BURNER GASKET (SET),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/83/795383_wm.jpg,N,"Eurocondense Plus 90-250, Eurocondense 2 - 90-250",Gas Assembly,Eurocondense,,624374,Gasket Set,N,,,,,,
78,P451642,Potterton 8409569 fan assembly siphon,Potterton,266.55,"This fan and motor is designed for use in Potterton's FF, Netaheat Profile, Profile and Superior boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 8409569 fan assembly siphon,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/42/451642_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_30_40_50_60_80e_Installation.pdf,,,,
79,P793436,Potterton kit fan assembly complete,Potterton,248.99,"A genuine Potterton part, this fan assembly is suitable for the repair of a wide variety of boilers, including Baxi 200 to 800 combis, the Main Eco Compact Combi range, the Assure combi and system ranges, the Assure 500 combi 2, Baxi's 400, 600 and 800 combi LPG range, the Platinum Compact 30 combi and the Megaflo Compact 24 system boiler.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold acc",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton kit fan assembly complete,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/36/793436_wm.jpg,N,,N/A,N/A,n/a,7683928,Domestic Boiler Parts,N,,,,,,
80,P410202,Potterton 5112320 fan assembly,Potterton,220.73,"This fan and gasket kit is designed for use in Potterton's Main HE, Performa SL and Suprima boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5112320 fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/02/410202_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Suprima_30-80_HE_Installation.pdf,,,,
81,P778492,Potterton fan gasket,Potterton,7.3,"A Potterton spare, this gasket is suitable for use in the fan combustion chamber of Suprima boilers.  Washers, O-rings and gaskets are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton fan gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/92/778492_wm.jpg,N,"100L, 30L, 40L, 50L, 60L, 70L, 80L",Fan Combustion Chamber,Suprima,E78469,5000857,Gasket,N,"40L,50L,60L,70L,80L,100L,30L",,,,,
82,P475221,Potterton 909029 gas valve,Potterton,333.71,"This gas valve kit is for use in Potterton Celsia, British Gas and Profile boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 909029 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/21/475221_wm.jpg,N,"Celsia 80 F1, Scottish Gas 40 F2, British Gas 80 F2, 100 Ng (Sit), British Gas 40 F2, British Gas 60 F2, Celsia 50 F1, Scottish Gas 30 F2, Scottish Gas 50 F2, Celsia 60 F1, British Gas 30 F2, Celsia 30 F1, Scottish Gas 60 F2, Scottish Gas 80 F2, British",Gas Assembly,"Celsia, British Gas, Profile",289396,909029,Gas Valve Kit,N,"Celsia 80 F1,Scottish Gas 30 F2,Celsia 30 F1,Celsia 60 F1,Scottish Gas 60 F2,Celsia 40 F1,British Gas 40 F2,Scottish G,British Gas 60 F2,British Gas 80 F2,British Gas 30 F2,100 Ng (Sit),Scottish Gas 50 F2,Celsia 50 F1,British Gas 50 F2,Scottish Gas 40 F2",,,,,
83,P774090,Potterton boiler thermostat k36,Potterton,44.4,"This Potterton K36 thermostat is suitable for use with Potterton British Gas, Celsia, FF, Prima F, Profile and Profile Prima boilers.  The thermostat allows the user to change or set the temperature of your boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton boiler thermostat k36,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/90/774090_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Prima_F_30-100_Installation.pdf,,,,
84,P410160,Potterton 3 way valve assembly,Potterton,269.16,"A Potterton diverter valve assembly kit suitable for installation in Promax, Promax ErP and Powermax units.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 3 way valve assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/60/410160_wm.jpg,N,"Promax Store 24 HE Boiler, Promax 24 Store 115L Cylinder ErP, Powermax 24 HE, Powermax He 85, Promax 24 Store 90L Cylinder ErP, Powermax He 150, HE Store (90 litres), HE Store (115 litres), Powermax He 115, HE Store (150 litres), Promax 24 Store 150L Cyl",Diverter Valve,PowermaxPromaxPromax ErP,E85752,5106931,Valve Assembly Kit,N,"HE Store (150 litres),Promax 24 Store 90L Cylinder ErP,HE Store (90 litres),Promax Store 24 HE Boiler,Powermax He 115,Promax 24 Store 150L Cylind,HE Store (115 litres),Powermax 24 HE Boiler,Powermax He 85,Promax 24 Store 115L Cylinder ErP,Powermax He 150",,,,,Natural Gas
85,P498673,Potterton screw m6x15mm dog point,Potterton,3.93,"This Potterton M6 x 15mm dog point screw pack is suitable for the maintenance of Ecogen, British Gas, Celsia, Envoy, Envoy System, FF, Netaheat Profile, Prima B, Prima C, Prima F, Profile and Profile Prima boilers.  Spare screw packs, for assembling an appliance or holding it in place, are supplied in various sizes and groupings to suit different jobs and appliances.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton screw m6x15mm dog point,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/73/498673_wm.jpg,N,"Ecogen 24, Ecogen 24 LPG, British Gas 30 F2, British Gas 40 F2, British Gas 50 F2, British Gas 60 F2, British Gas 80 F2, Celsia 30 F1, Celsia 40 F1, Celsia 50 F1, Celsia 60 F1, Celsia 80 F1, Scottish Gas 30 F2, Scottish Gas 40 F2, Scottish Gas 50 F2, Sco",Casing,"Ecogen, British Gas, Celsia, Envoy, Envoy System, FF, Netaheat Profile, Prima B, Prima C, Prima F, Profile, Profile Prima",337454,633912,Screw,N,"Celsia 80 F1,30B,Celsia 30 F1,30C,40 B,80 E,50B,40 C,60C,40E,50E,40F,60E,50F,60F,British Gas 60 F2,80F,80E Lpg,Ff 75 From Potterton,40 El,30,Ecogen 24,100F,Celsia 60 F1,50 El,Celsia 50 F1,80,British Gas 50 F2,Ecotherm Eco,60,60E Lpg,40",,,,,
86,P481747,Potterton temperature relief pressure valve 1/2 x 15,Potterton,65.94,"This Potterton pressure and temperature relief valve is compatible with Promax, Promax ErP and Powermax units and fits most Ariston cylinders.  The valve ensures relief from potentially dangerous overpressure and rises in temperature, keeping an appliance running safely.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton temperature relief pressure valve 1/2 x 15,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/47/481747_wm.jpg,N,"HE Store (150 litres), Promax 24 Store 150L Cylinder ErP, Promax 24 Store 90L Cylinder ErP, Powermax 24 HE, Powermax He 85, Promax 24 Store 115L Cylinder ErP, Powermax He 115, Powermax He 150, HE Store (90 litres), Promax Store 24 HE Boiler, HE Store (11",Gas Assembly,"Promax, Promax ErP, Powermax",E85775,5106095,Temperature and Pressure Relief Valve,N,"HE Store (150 litres),HE Store (90 litres),Powermax He 115,Promax Store 24 HE Boiler,HE Store (115 litres),Powermax 24 HE Boiler,Powermax He 85,Powermax He 150",,,,,
87,P795396,Potterton insulation,Potterton,66.86,"Burner flange inner insulation for use in the combustion chamber of Potterton Paramount, Paramount Four, Paramount Two, Paramount Three and Paramount Five boilers.  The combustion chamber is a sealed box that contains the burner and electrodes along with combusted gases ready to be cleared by the appliance's fan.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/96/795396_wm.jpg,N,"Paramount 72 KW, Paramount Four - 115 kW, Paramount Two - 115 kW, Paramount Two - 80 kW, Paramount Three - 115 kW, Paramount Three - 40 kW, Paramount 60 kW, Paramount Four - 40 kW, Paramount Four - 80 kW, Paramount Three - 80 kW, Paramount Two - 30 kW, P",Fan Combustion Chamber,"Paramount, Paramount Four, Paramount Two, Paramount Three, Paramount Five",,991124,Insulation,N,"Paramount 3,Paramount 2,Paramount",,,,,
88,P419492,Potterton sight glass,Potterton,7.3,"A Potterton spare, this sight glass is designed to fit Main HE, Performa SL, Kingfisher Mf, Suprima and Kingfisher units.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton sight glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/92/419492_wm.jpg,N,"Main Heat Only 12 HE, Main Heat Only 24 HE, 15 SL, 60Cf, 100Cf, 60HE, 90Rsl, 12 SL, 60L, Main Heat Only 15 HE, Main Heat Only 18 HE, 18 SL, 100, 60Rsl, 70Cf, 9 SL, 50, 80Rsl, 70L, 70Cfl, 70, 60, 40, 100Rsl, 40 Cfl (Not Produced), 21 SL, 70Rs, 50Rs, 60Rs,",Casing,"Main HE, Performa SL, Kingfisher Mf, Suprima, Kingfisher",743277,7683433,Sight Glass,N,,,,,,
89,P410172,Potterton 5106291 overheat thermostat,Potterton,36.14,"A genuine Potterton part, this overheat thermostat is suitable for Promax, Promax ErP and Powermax boilers.  This thermostat uses in built-in sensors to monitor a boiler's temperature, ceasing operation if the maximum selected temperature is reached.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5106291 overheat thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/72/410172_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Potterton_Promax_HE_Store_Install.pdf,,,,
