,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Attachment 2,For Use With,Attachment 3,Feature 2,Feature 3,Range,Pack Quantity,Dimensions mm (H x W x D),Application
152,P730741,Ideal injector assembly kit 24kw,Ideal,38.23,"An Ideal injector assembly kit for use in Logic, Logic Heat, Logic System, Pro Combi Exclusive, Code Combi, Independent+, Independent System, Logic+ Heat, Logic+ System, ICombi, i mini, Independent Combi, Logic Max Combi, Logic Max System, Instinct, Exclusive and Classic Combi boilers.  A pilot injector regulates the velocity at which gas allowed into the boiler’s burner or pilot assembly. This process makes sure that the system uses only the amount of gas necessary, saving on waste.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal injector assembly kit 24kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/41/730741_wm.jpg,,N,Logic 24Logic 30Logic 35Logic Heat 12Logic Heat 15Logic Heat 18Logic Heat 24Logic Heat 30Logic System 15Logic System 18Logic System 24Logic System 30Pro Combi Exclusive 24Pro Combi Exclusive 30Pro Combi Exclusive 35PROMCombi Exclusive 30Code Combi 26Code,Control Panel,LogicLogic HeatLogic SystemPro Combi ExclusiveCode CombiIndependent+Independent SystemLogic+ HeatLogic+ SystemICombii miniIndependent CombiLogic Max CombiLogic Max SystemInstinctExclusiveClassic Combi,n/a,177546,Injector Assembly Kit,N,,,,,,,,,,,
153,P405822,Ideal diverter valve manifold,Ideal,96.95,"This Ideal manifold is intended for the diverter valve of Esprit 2, Evo and Isar boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal diverter valve manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/22/405822_wm.jpg,,N,"HE 35, C22/35, HE 24, HE 24 + Programmer, HE 24, C22/24, C22/30, HE 35 + Programmer, HE 30, HE 30 + Programmer, HE 30, HE 35",Diverter Valve,"Esprit 2, Evo, Isar",H28074,173965,Manifold,N,"C22/35,C22/24,HE 30 + Programmer,HE 24 + Programmer,HE 35,HE 24,C22/30,HE 30,HE 35 + Programmer",Genuine Ideal Spare Part,,,,,,,,,
154,P498817,Ideal 170938 gasket kit servicing,Ideal,48.5,"This useful gasket kit is designed for the heat exchanger of Ideal Evo, Icos, Classic, Esprit 2, Isar, Istor and Elise boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 170938 gasket kit servicing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/17/498817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Icos_System_m3080_Installation.pdf,,,,,,,,,,,,,,,,,,,
155,P468487,Ideal condensation outlet and connector,Ideal,11.11,"An Ideal brand condensate outlet for Atlantic, Classic, I-mini, Independent, Logic, Vogue, Esprit, Instinct, Logic+, Keston System, Exclusive, iCombi, Procombi, Keston Combi, Morco and Keston C boilers.  The condensate trap holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature. A discharge pipe connected to the condensate trap sends held water out of the property. This pipe is ordinarily made of plastic that can withstand the low levels of acid present due to CO2 from the combustion process dissolving in the water.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal condensation outlet and connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/87/468487_wm.jpg,,N,"Atlantic 24, Combi 30, I-mini 30, Combi 30, System 30, System S 24, ES 35, Heat H 12, Heat H 15, Max Heat H 24, Max System 18, S32 Gen 2, Combi 2 30, Eco 2 35, I-mini C 24, C30, 30, 35, C 30, Code Combi 26, Code Combi ES 26, E 35, ESP 35, Heat 30, Heat H",Condensate Trap,"Atlantic, Classic, I-mini, Independent, Logic, Vogue, Esprit, Instinct, Logic+, Keston System, Exclusive, iCombi, Procombi, Keston Combi, Morco, Keston C",H78171,175586,Condensation Outlet,N,"System S 24,24,Combi 30,Code Combi ESP1 38,ES 24,E 30,Eco 30,I-mini 30,H,i35,Exclusive 35,Heat 15,Code Combi ES 38,Heat 12,Code Combi ES 33,System S 30,30,ESP1 24,C 24,System S 15,Code Combi ESP1 26,ES 35,i24,System 15,Combi 24,I-mini 24,System 30,ESP 24",,,,,,,,,,
156,P441557,Ideal pressure relief valve,Ideal,25.55,"An Ideal spare, this pressure relief valve is suitable for use with British/Scottish Gas, Classic, Henrad, Optia and Sprint Rapide appliances.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/57/441557_wm.jpg,,N,"RD1 40, 40 NF, FF 340, FF 340 LF, FF 350 LF, FF 360 P, FF 370, LX FF 230, LX FF 260, LX FF 270, LX RS 240, RS 340, RS 360, RS 40, SE 15 P FF, SE 21 FF (Silver), Slimline FF 240, Slimline FF 330, Slimline SE 15 FF, WH 100 FF, WH LX 50 FF, WH LX 60 FF, FF",Gas Assembly,"British/Scottish Gas, Classic, Henrad, Optia, Sprint Rapide",n/a,075248,Pressure Relief Valve,N,"RS 240,70 NF,LX FF 280,FF 260 P,LX RS 230,FF 360 LF,LX RS 250,FF 260,60 NF,FF 360,FF 240,FF 350 P,FF 380,RD1 70,RS 255 P,LX FF 275 P,RD1 100,50 NF,RD1 30,LX FF 250,FF 2100,RS 250,FF 250 P,FF 380 P,RS 30,RS 33,50 NFP,RD1 60,RS 245 P,LX FF 260 P,LX FF 240",,,,,,,,,,
157,P461236,Ideal mini printed circuit board,Ideal,192.78,"This Ideal brand printed circuit board is compatible with Europa and Mini boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal mini printed circuit board,,Printed Circuit Board,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/36/461236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Europa_Installation.pdf,,,,,,,,,,,,,,,,,,,
158,P412986,Ideal pressure gauge,Ideal,42.56,"This Ideal pressure gauge is for installation in the control panel of Vogue boilers.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal pressure gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/86/NW-412986_wm.jpg,,N,Vogue C26Vogue C32Vogue C40Vogue S15Vogue S18Vogue S26Vogue S32,Control Panel,vogue,n/a,176880,Pressure Gauge,N,,,,,,,,,,,
159,P483394,Ideal gas cock test nipple screw,Ideal,8.15,"This Ideal test nipple screw is suitable for the gas assembly of Logic, Logic Heat, Logic System, Pro Combi Exclusive, Code Combi, Independent+, Independent, Independent System, Logic+ System, Logic+, Logic+ Heat, Logic Code Combi, Independent Combi, Independent System S, Logic Max, Atlantic, Logic Max System, Instinct, Exclusive, Classic Combi, ICombi, i mini and Logic Max Heat boilers.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal gas cock test nipple screw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/94/NW-483394_wm.jpg,,N,Logic 24Logic 30Logic 35Logic Heat 12Logic Heat 15Logic Heat 18Logic Heat 24Logic Heat 30Logic System 15Logic System 18Logic System 24Logic System 30Pro Combi Exclusive 24Pro Combi Exclusive 30Pro Combi Exclusive 35PROMCombi Exclusive 30Code Combi 26Code,Gas Assembly,LogicLogic HeatLogic SystemPro Combi ExclusiveCode CombiIndependent+IndependentIndependent SystemLogic+ SystemLogic+Logic+ HeatLogic Code CombiIndependent CombiIndependent System SLogic MaxAtlanticLogic Max SystemInstinctExclusiveClassic CombiICombii min,n/a,176562,Test Nipple Screw,N,,,,,,,,,,,
160,P412944,Ideal heat exchanger O ring (Pack of 4),Ideal,14.52,"An official Ideal branded spare, this 4 piece O-ring pack is suitable for use in the heat exchanger of Esprit 2, Evo, Independent, Isar, Logic, Esprit, Vogue, Keston Combi, Logic+ and I-mini boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal heat exchanger O ring (Pack of 4),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/44/412944_wm.jpg,,N,"HE 35, C22/35, 0, C24, HE 35, ESP 24, HE 30, C30, HE 30, E 24, C26, Combi 35, C22/24, C35, HE 24, ES 24, 24, HE 24, C22/30, I-mini 30, E 30, ES 35, ESP 35, 30, C40, 0, 0, ES 30, 35, C32, Combi 30, HE 35, HE 30, I-mini 24, HE 30 + Programmer, 24, ESP 30,",Heat Exchanger,"Esprit 2, Evo, Independent, Isar, Logic, Esprit, Vogue, Keston Combi, Logic+, I-mini",n/a,174898,O-Ring,N,"E 35,C 32,24,C22/35,Combi 30,C,HE 24 + Programmer,C22/30,ES 24,C26,E 30,I-mini 30,HE 24,ESP 35,HE 35 + Programmer,30,C30,HE 30 + Programmer,E 24,35,C22/24,C35,ES 35,I-mini 24,ESP 30,HE 35,ESP 24,HE 30,ES 30,C40",,,,,,,,Pack of 4,,
161,P468505,Ideal harness - detection lead,Ideal,20.89,"An Ideal spare, this wiring harness is compatible with Esprit, iCombi, Independent, Logic, Logic+, Morco, I-mini, Instinct, Classic, Exclusive, Procombi, Keston C, Keston Combi and Keston System boilers.  These groups of wires are designed to give the PCB complete control over the boiler's processes and safety protocols.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal harness - detection lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/05/468505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Code_Combi_Installation.pdf,,,,,,,,,,,,,,,,,,,
162,P703138,Ideal boiler chip card heat 12,Ideal,36.29,"This Ideal BCC kit is a spare part intended for use in the PCB of Logic+ and Logic appliances.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal boiler chip card heat 12,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/38/703138_wm.jpg,,N,"+ Heat 12, + Heat 15, + Heat 30, Heat 24, Heat 18, Heat 30, Heat 12, Heat 15, + Heat 18, + Heat 24",Control Panel,LogicLogic+,H84087,175955,BCC Kit,N,"Heat 18,Heat 15,Heat 24,Heat 12,Heat 30",,,,,,,,,,
163,P483421,Ideal return thermistor,Ideal,42.33,"A genuine Ideal part, this return thermistor with clip is designed for use in Esprit, Exclusive, Instinct, Classic, Procombi, iCombi and Morco boilers.  The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal return thermistor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/21/483421_wm.jpg,,N,"Eco 30, Exclusive 35, 24, Combi 24, Combi 30, Eco 24, Exclusive 24, Exclusive 24, Exclusive 30, i24, GB 30, Exclusive 35, Exclusive 30, i30, i35, 30, 35, GB 24",Control Panel,"Esprit, Exclusive, Instinct, Classic, Procombi, iCombi, Morco",H92254,176482,Thermistor,N,"GB 24,24,35,Combi 30,GB 30,i30,Eco 30,i24,i35,Combi 24,Exclusive 24,Exclusive 35,Exclusive 30,Eco 24,30",,,,,,,,,,
164,P498823,Ideal automatic air vent kit,Ideal,37.49,"This automatic air vent is a genuine spare for use in the pump section of Ideal Isar, Mexico, Esprit 2, Evo, Istor and Icos units.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal automatic air vent kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/23/498823_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Icos_System_m3080_Installation.pdf,,,,,,,,,,,,,,,,,,,
165,P412950,Ideal BCC combi plus kit (pre ZJ) 30kw,Ideal,36.29,"This Ideal BCC combi plus kit is a spare part intended for use in the PCB of Logic+ and Keston C appliances.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal BCC combi plus kit (pre ZJ) 30kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/50/412950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
166,P120644,Ideal Logic radio frequency electronic programmable room thermostat kit,Ideal,200.56,This Ideal wireless RF digital timer and room thermostat provides complete heating control over radio frequencies.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal Logic radio frequency electronic programmable room thermostat kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/44/120644_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boiler_Domestic_Brochure.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/06/44/120644.pdf,,,,,,,,
167,P703132,Ideal top heat flue manifold,Ideal,95.62,"An Ideal top heat manifold for the flue section of Logic and Logic+ boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal top heat flue manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/32/703132_wm.jpg,,N,"Heat 30, Max Heat H 24, Heat 15, Heat H 12, Heat H 15, Heat H 18, Max Heat H 12, + Heat H 15, + Heat H 18, Heat 12, + Heat 18, Max Heat H 18, Max Heat H 30, + Heat 15, + Heat 30, + Heat H 12, + Heat H 30, + Heat 12, Heat 18, Heat H 30, + Heat H 24, Heat",Flue,LogicLogic+,H84061,175982,Manifold,N,"Heat H 12,Heat H 24,Heat H 15,Heat H 18,Max Heat H 30,Heat 30,Max Heat H 24,Max Heat H 12,Max Heat H 18,+ Heat H 30,Heat 18,Heat 15,Max Heat H 15,Heat 24,Heat 12,+ Heat H",Genuine Ideal Spare Part,,,,,,,,,
168,P468534,Ideal hardware pack seal kit,Ideal,17.0,"An Ideal hardware pack seal kit for the heat exchanger of iCombi, Independent, Logic, Keston C, Esprit, Exclusive, Logic+, Keston Heat, Classic, Instinct, Morco, Procombi, I-mini and Keston Combi boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal hardware pack seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/34/468534_wm.jpg,,N,"i24, i35, 0, C24, System 24, 30, ESP 24, System 15, System 24, System 30, 30C, Eco 30, Exclusive 24, 0, C35, E 30, ES 24, ESP 30, System 18, 24, + System 15, Heat 45, Combi 30, Eco 24, Exclusive 35, C30, System 18, System 30, 24, 30, 35, 24, Code Combi 3",Heat Exchanger,"iCombi, Independent, Logic, Keston C, Esprit, Exclusive, Logic+, Keston Heat, Classic, Instinct, Morco, Procombi, I-mini, Keston Combi",H78219,175641,Seal Kit,N,"GB 24,C30,24,35,E 24,Combi 30,System 18,i24,i35,System 15,Code Combi 33,System 24,Exclusive 35,System 30,System 18 IE,Code Combi ES 38,Ex,ESP 24,ESP 35,Code Combi ES 26,Eco 24,Code Combi ES 33,30",,,,,,,,,,
169,P468522,Ideal plug - timer link,Ideal,13.51,"This Ideal brand timer link plug is compatible with Logic, Keston System, Logic+, Keston Combi and Keston C boilers.  Also known as a clock, programmer or time clock, the timer allows the boiler's user to control when heating and/or hot water is turned on and off to maximise flexibility and comfort.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal plug - timer link,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/22/468522_wm.jpg,,N,"Code Combi ES 33, System 30, Code Combi ES 26, E 30, ESP 35, 30, Combi 30, Code Combi 26, ES 35, Combi 35, E 24, E 35, ES 30, 24, Code Combi 33, Code Combi 38, Code Combi ES 38, 35, 35, ES 24, ESP 30, 24, 30C, 30, ESP 24",Control Panel,"Logic, Keston System, Logic+, Keston Combi, Keston C",H78200,175625,Timer Link Plug,N,"E 24,E 35,35,24,Combi 30,30C,ES 35,ES 24,E 30,Code Combi 26,Combi 35,Code Combi 33,ESP 30,System 30,Code Combi ES 38,ESP 24,ESP 35,Code Combi ES 26,Code Combi 38,Code Combi ES 33,ES 30,30",,,,,,,,,,
170,P461502,Ideal 173628 diverter valve head kit,Ideal,160.16,"This Ideal diverter valve head kit is compatible with Evo, Isar and Esprit 2 boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 173628 diverter valve head kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/02/461502_wm.jpg,,N,"HE 24 + Programmer, HE 30, C22/24, HE 24, C22/30, HE 30 + Programmer, HE 35, HE 35 + Programmer, HE 24, HE 35, C22/35, M 30/100, HE 30",Diverter Valve,"Isar, Esprit 2, Evo",n/a,173628,Diverter Valve Head Kit,N,"M 30/100,C22/24,C22/35,HE 30 + Programmer,HE 35,HE 24,HE 24 + Programmer,C22/30,HE 30,HE 35 + Programmer",,,,,,,,,,
171,P461552,Ideal thermocouple,Ideal,11.15,"This Ideal thermocouple is a spare part for boilers in the Concord CX, Mexico, Mexico 2, Concord and Sprint Rapide ranges.  Made of two metals, each producing a slight electrical charge when heated on one side, the thermocouple is involved in the opening and closing of the boiler's valves.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal thermocouple,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/52/461552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Mexico_Super_CF3_100_Install.pdf,,,,,,,,,,,,,,,,,,,
172,P498830,Ideal O ring hydroblock,Ideal,19.04,"A genuine Ideal replacement part, this O-ring is suitable for use in the heat exchanger of Esprit 2, Icos, Isar and Evo boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal O ring hydroblock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/30/498830_wm.jpg,,N,"HE 24, System HE 24, HE 30 + Programmer, HE 35, C22/30, System HE 15, System M 3080, HE 35 + Programmer, HE 35, C22/35, HE 24 + Programmer, M 30/100, HE 30, HE 30, C22/24, HE 24",Heat Exchanger,"Esprit 2, Icos, Isar, Evo",E69324,171031,O-Ring,N,"HE 30 + Programmer,C22/24,C22/35,HE 24 + Programmer,System M 3080,C22/30,M 30/100,HE 35,HE 24,System HE 24,HE 30,System HE 15,HE 35 + Programmer",,,,,,,,,,
