,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Diameter,Range,Weight,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Length (M),Pack Quantity,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 5,Attachment 6,Attachment 7
53,PP96531,"Georg Fischer TP upvc pipe (class c) 6mtr x 2""",Georg Fischer,25.89,"This Georg Fischer TP 2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class c) 6mtr x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/31/NW-P96531_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PP10022,Durapipe SuperFLO ABS pipe 10 bar 32mm x 5mtr (Per Metre),Durapipe,10.24,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 32mm pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 1.9mm thick ABS pipe, supplied in 5M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFLO ABS pipe 10 bar 32mm x 5mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/22/NW-P10022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PP96528,"Georg Fischer TP upvc pipe (class e) 6mtr x 3""",Georg Fischer,77.91,"This Georg Fischer TP 3"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/29/NW-P96528_P96529_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PP10023,Durapipe SuperFlo ABS pipe 10 bar 40mm x 5m,Durapipe,15.9,This 5M length of Durapipe SuperFlo 40mm grey pipe is made of 2.4mm thick ABS material and offers plain press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFlo ABS pipe 10 bar 40mm x 5m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/NW-P10023_P10024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PP96265,"TP RV0.BPF UPVC barrel nipple BS/BSP 1.1/2""",TP,7.98,"This TP 1 1/2 x 1 1/2"" barrel nipple is made of PVC-U and includes plain end connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> TP RV0.BPF UPVC barrel nipple BS/BSP 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/66/NW-P96261_P96266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PP10021,Durapipe SuperFlo ABS pipe 10 bar 25mm x 5m,Durapipe,6.67,This 5M length of Durapipe SuperFlo 25mm grey pipe is made of 1.5mm thick ABS material and offers plain press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFlo ABS pipe 10 bar 25mm x 5m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/21/NW-P10020_P10021_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PP96526,"Georg Fischer TP upvc pipe (class e) 6mtr x 2"" (Per Metre)",Georg Fischer,36.37,"This Georg Fischer TP 2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 2"" (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PP16003,M OF VULCATHENE PIPE 4M             102,Durapipe,107.86,"Purpose-built for chemical resistance, this Durapipe Vulcathene 102mm polypropylene pipe is part of a plumbing system specified for use in laboratories in educational facilities, hospitals and research facilities. Supplied in a 4M length, Vulcathene offers two simple jointing methods, with a mechanical option for demountable joints and Enfusion electrofusion welded joints, offering versatility for the installers of these chemical waste systems.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF VULCATHENE PIPE 4M             102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/03/NW-P16000_P16003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PP96525,"Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/2""",Georg Fischer,22.83,"This Georg Fischer TP 1 1/2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PP12003,Durapipe HTA CPVC pipe (PN25) 3mtr x 20mm,Durapipe,5.96,"Quick and easy to install, this Durapipe HTA 20mm pipe, is made of chlorinated polyvinyl chloride (PVC-C), a suitable choice for domestic hot and cold water services. A cost-effective copper alternative, this high quality 2.3mm thick pipe, supplied in a 3M length, is resistant to limescale and corrosion, ensuring an always smooth bore and optimised flow.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe HTA CPVC pipe (PN25) 3mtr x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/06/NW-P12003_P12006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Girpi_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Rerfix_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_HTA_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe-HTA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PP96524,"Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/4""",Georg Fischer,17.92,"This Georg Fischer TP 1 1/4"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PP96521,"Georg Fischer TP upvc pipe (class e) 6mtr x 1/2""",Georg Fischer,6.94,"This Georg Fischer TP 1/2"" pipe is made of polyvinyl chloride (PVC-U) and is suitable for use in the transport of potable water and food products. It is supplied in a length of 6M.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP upvc pipe (class e) 6mtr x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-P96521_P96526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PP16000,M OF VULCATHENE PIPE 4M              38,Durapipe,21.61,"Purpose-built for chemical resistance, this Durapipe Vulcathene 38mm polypropylene pipe is part of a plumbing system specified for use in laboratories in educational facilities, hospitals and research facilities. Supplied in a 4M length, Vulcathene offers two simple jointing methods, with a mechanical option for demountable joints and Enfusion electrofusion welded joints, offering versatility for the installers of these chemical waste systems.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF VULCATHENE PIPE 4M              38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/03/NW-P16000_P16003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PP31004,M OF GF ABS CL C PIPE 169018034 6M 1.1/4,Georg Fischer,24.36,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 1 1/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL C PIPE 169018034 6M 1.1/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1.1/4,,,N,"WRAS, DWI",male,ABS,1 1/4 in,2.5,Spigot,Spigot,169018034,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
67,PP10025,Durapipe SuperFLO ABS pipe 10 bar 63mm x 5mtr,Durapipe,31.96,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 63mm pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 3.8mm thick ABS pipe, supplied in 5M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFLO ABS pipe 10 bar 63mm x 5mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/25/NW-P10025_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PP31014,M OF GF ABS CL D PIPE 169018067 6M     6,Georg Fischer,348.75,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class D 6"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL D PIPE 169018067 6M     6",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,6,,,N,"WRAS, DWI",male,ABS,6 in,12.8,Spigot,Spigot,169018067,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
