,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 5,Feature 6,Warranty,Attachment 1,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 2,Attachment 3
55,P610090,Fujitsu ASEH36KMTB 10KW Standard Wall Indoor,Fujitsu,659.28,"Offering ease of operation via an infrared remote control, the simple Fujitsu Standard Series High Efficiency 9.4kW indoor air conditioning unit makes minimising your environmental impact while keeping your cool easy. Compatible with eco-friendly R32 refrigerant, this quiet, wall-mounted air con unit with heating mode is designed to reduce energy use and could, along the way, help to reduce running costs too.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH36KMTB 10KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/90/610089_90_wm.jpg,18.5,1,R-32,N,280,5/8,3/8,ASEH36KMTB,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
56,P675284,Fujitsu AUYG45LRLA R410A Cassette Compressor Inverter 12.5KW,Fujitsu,757.68,"Part of a heat pump inverter air conditioning system, the Fujitsu AUYG indoor cassette unit offers a CoP of up to 3.6, depending on the model chosen. This means that the system delivers 3.6 kW of heating yet consumes just 1kW of electrical power, thanks to the use of advanced Fujitsu air conditioning inverter technology and efficient R-410A refrigerant. Delivering an improved airflow pattern, the AUYG incorporates Fujitsu's four-way blow cassette design and a high performance indoor heat exchanger. The resulting pressure loss reduction has allowed for an optimised fan design that offers low sound during operation, even when reaching top outputs of 12.5kW for cooling and 14kW during heating.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUYG45LRLA R410A Cassette Compressor Inverter 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/84/NW-675284_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Product_Catalogue_2020.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_AUYG36-54LRLA_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_Cassette_4Way_Flow_Technical.pdf
57,P697528,Fujitsu Slim Duct ARXG18KLLAP R32 Indoor Slim Duct Unit 5KW,Fujitsu,510.45,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Slim Duct ARXG18KLLAP R32 Indoor Slim Duct Unit 5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
58,P610083,Fujitsu ASEH09KLTA 2.6W Eco Wall Indoor,Fujitsu,138.99,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 2.6kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH09KLTA 2.6W Eco Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/83/610083_wm.jpg,7,1,R-32,N,218,.3/8,1/4,ASEH09KLTA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
59,P697533,Fujitsu Medium Static Pressure Duct ARXG24KHTAP R32 Medium Indoor Static Duct Unit 7.1KW,Fujitsu,596.55,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Medium Static Pressure Duct ARXG24KHTAP R32 Medium Indoor Static Duct Unit 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
60,P678897,Fujitsu Standard ASYG18KMTE R32 Wall Mounted Indoor Unit 5.2KW,Fujitsu,378.84,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 5.2kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYG18KMTE R32 Wall Mounted Indoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/97/678897_wm.jpg,1.25 Kg,1 Phase,R-32,N,240,12.70 mm,6.35 mm,ASYG18KMTE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,Standard,,,,,,,,,,,,3 Years (Standard),,,,,,,
61,P700033,Fujitsu ASYG09KETFB R32 Silver Wall Mounted Indoor Unit 2.5KW -,Fujitsu,246.0,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG09KETFB 2.5kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASYG09KETFB R32 Silver Wall Mounted Indoor Unit 2.5KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG09KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,ASYG09KETFB,,,,,,,,,,3 year warranty,,3 Years,,,,,,,
62,P602320,Fujitsu ASYG14KETFB R32 Silver Wall Mounted Indoor Unit 4.2KW -,Fujitsu,324.72,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG14KETFB 4.2kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASYG14KETFB R32 Silver Wall Mounted Indoor Unit 4.2KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11.5 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG14KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,,,,,,,,,,,3 year warranty,,3 Years,,,,,,,
63,P700820,Fujitsu ASEG24KLCA Eco Indoor Unit 7.1KW,Fujitsu,313.04,"Supplying both heating and cooling, the Fujitsu Eco ASEG24KLCA 7.1kW indoor air conditioning unit is a convenient choice for internal wall mounted installation in areas with changeable climates. It has a smart, compact design and offers an economy mode alongside low ambient operation for convenient, cost-effective R32-driven operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEG24KLCA Eco Indoor Unit 7.1KW,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/700820_wm.jpg,10 kg,1,R-32,N,249,1/2 in,1/4 in,ASEG24KLCA,Wall mount,N,Compact design,With economy operation,With low ambient operation,Compatible with R32 refrigerant,,,,,,,,,,,Suitable for wall mounted installation,3 year warranty,3 Years,,,,,,,
64,P686688,Fujitsu ABYG18KRTA Standard Ceiling Indoor Unit 5.2KW,Fujitsu,415.13,"The environmentally friendly Fujitsu ceiling-mounted indoor split unit has an energy saving design that ensures comfort and efficiency at once. Simple to install, this A+ rated air conditioning unit employs efficient R-32 refrigerant.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ABYG18KRTA Standard Ceiling Indoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/88/NW-686688_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
65,P686690,Fujitsu ABYG24KRTA Standard Ceiling Indoor Unit 6.8KW,Fujitsu,551.04,"The environmentally friendly Fujitsu ceiling-mounted indoor split unit has an energy saving design that ensures comfort and efficiency at once. Simple to install, this A+ rated air conditioning unit employs efficient R-32 refrigerant.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ABYG24KRTA Standard Ceiling Indoor Unit 6.8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/90/NW-686690_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
66,P686694,FUJ 13.4KW R32 STD ID CEILING ABYG54KRTA,Fujitsu,1377.6,"Ideal for temperature control in those rooms where appearance counts, the Fujitsu R39 ABYG54KRTA 13.4kW standard ceiling indoor unit is designed for ceiling suspended installation. With the option to set the drain hose and piping into the unit's casing to be drawn out in any direction, this smartly curved air conditioning unit provides a wide variety of siting possibilities for the ultimate in design flexibility. A powerful unit for maximised comfort, the R39 supplies a generous cooling output of 13.4kW as well as a 15.5kW heating output.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> FUJ 13.4KW R32 STD ID CEILING ABYG54KRTA,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/94/NW-686694_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Product_Catalogue_2020.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fujitsu_SplitAirConditioner_Tech.pdf,
67,P650369,FUJ VRF 2.2KW WALL/M I/D ASYA007GCGH,Fujitsu,487.32,"Highly efficient, the Fujitsu Airstage 2.2kW wall-mounted indoor unit is also compact and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> FUJ VRF 2.2KW WALL/M I/D ASYA007GCGH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/69/650369_wm.jpg,8.5 kg,1 Phase,R410a,N,203,9.52 mm,6.35 mm,ASYA007GCGH,Indoor Unit,N,"With all DC, electricity loss is decreased and power consumption is reduced",6 airflow speed options to give greater airflow control,EEV is installed external to the unit to assist with noise reduction in a small room,High efficient compact design,VRF,,2.8,34 dB (A),1.4,2.2,9.16 m³/min,6 m³/min,26 dB (A),5,5mm high density heat exchanger,Aesthetic chassis,3 Years (Standard),,The indoor unit features a slim and compact design,,,,,
68,P650367,FUJ VRF 2.2KW SLIM DUCT I/D ARXD007GLEH,Fujitsu,568.54,"Highly efficient, the Fujitsu Airstage 2.2kW slimline ducted indoor unit is also compact, quiet and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> FUJ VRF 2.2KW SLIM DUCT I/D ARXD007GLEH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/67/650367_wm.jpg,17kg,1 Phase,R410a,N,620,9.52 mm,6.35 mm,ARXD007GLEH,Indoor Unit,N,Slim design allows for installation in a tight ceiling space,Air intake direction can be selected to match the installation site,Flexible installation,,VRF,1.6,2.8,28 dB (A),1.5,2.2,9.16 m³/min,6.16 m³/min,22 dB (A),5,,,3 Years (Standard),,,,,,,
69,P650380,FUJ VRF 12.5KW CASSETTE I/D AUXK045GLEH,Fujitsu,1155.42,"Highly efficient, the Fujitsu Airstage 12.6kW indoor cassette unit is also compact, quiet and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> FUJ VRF 12.5KW CASSETTE I/D AUXK045GLEH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/650380_wm.jpg,29.5 kg,1 Phase,R410a,N,840,15.87 mm,9.52 mm,AUXK045GLEH,Indoor Unit,N,Unique Circular Flow design,Individual louver control,Human Sensor Option,,VRF,9.3,14.0,44 dB(A),7.6,12.5,30.33 m³/min,19.17 m³ /min,33 dB (A),5,,,3 Years (Standard),,,,,,,
70,P602322,Fujitsu Standard ASYG12KMCF R32 Wall Mounted Indoor Unit 3.4KW,Fujitsu,234.32,"A compact outdoor unit, the Fujitsu Standard Multi-split 3.4kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYG12KMCF R32 Wall Mounted Indoor Unit 3.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/22/602322_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG12KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",Standard,,,,,,,,,,For wall mounting,Low ambient operation,,,3 year warranty,,,,,
71,P700000,Fujitsu Standard ASYH30KMTB R32 Wall Mounted Indoor Unit - 8.0KW,Fujitsu,656.82,"Designed to be wall-mounted, this Fujitsu Standard Series High Efficiency 8kW indoor unit offers compatibility with R32 refrigerant. Easy to operate, this cooling and heating unit is supplied complete with an infrared remote control.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYH30KMTB R32 Wall Mounted Indoor Unit - 8.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/_a/700000_A_wm.jpg,18.5 Kg,N/A,R-32,N,280,5/8 inch,3/8 inch,ASYH30KMTB,Indoor Unit,N,Supplied with wireless controller,For wall mounting,Offers nominal cooling capacity of 8.0kW,Offers nominal heating capacity of 8.8kW,Standard,,,,,,,,,,"With pipe sizes of 3/8"" and 5/8""",3 year warranty,3 Years (Standard),,,,,,,
72,P686693,Fujitsu ABYG45KRTA Standard Ceiling Indoor Unit 12.1KW,Fujitsu,962.48,"The environmentally friendly Fujitsu ceiling-mounted indoor split unit has an energy saving design that ensures comfort and efficiency at once. Simple to install, this A+ rated air conditioning unit employs efficient R-32 refrigerant.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ABYG45KRTA Standard Ceiling Indoor Unit 12.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/93/NW-686692_686693_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
73,P700002,Fujitsu Standard ASYH36KMTB R32 Wall Mounted Indoor Unit - 9.4KW,Fujitsu,659.28,"Designed to be wall-mounted, this Fujitsu Standard Series High Efficiency 9.4kW indoor unit offers compatibility with R32 refrigerant. Easy to operate, this cooling and heating unit is supplied complete with an infrared remote control.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYH36KMTB R32 Wall Mounted Indoor Unit - 9.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/02/700002_wm.jpg,18.5 Kg,N/A,R-32,N,280,5/8 inch,3/8 inch,ASYH36KMTB,Indoor Unit,N,Supplied with wireless controller,For wall mounting,Offers nominal cooling capacity of 9.4kW,Offers nominal heating capacity of 10.1kW,Standard,,,,,,,,,,"With pipe sizes of 3/8"" and 5/8""",3 year warranty,3 Years (Standard),,,,,,,
74,P602321,Fujitsu Standard ASYG09KMCF R32 Wall Mounted Indoor Unit 2.5KW,Fujitsu,217.1,"A compact outdoor unit, the Fujitsu Standard Multi-split 2.5kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Standard ASYG09KMCF R32 Wall Mounted Indoor Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/21/602321_wm.jpg,10 kg,Single,R-32,N,222,9.52 mm,6.35 mm,ASYG09KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",Standard,,,,,,,,,,For wall mounting,Low ambient operation,3 Years,,3 year warranty,,,,,
75,P616500,Fujitsu AGYG12KVCA Floor Standing Indoor Unit 3.5KW,Fujitsu,462.48,"A compact design to suit any interior, the Fujitsu floor-standing indoor heating and cooling unit has an A+++ rating for cooling and A+ for heating, ensuring energy efficiency alongside comfort. Easy to fit, this unit is designed for installation flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AGYG12KVCA Floor Standing Indoor Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/00/NW-616500_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split-Multisplit_Brochure.pdf,,,,,,
76,P686708,Fujitsu Eco ASYG09KPCE R32 Wall Mounted Indoor Unit 2.5KW,Fujitsu,138.99,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 2.5kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Eco ASYG09KPCE R32 Wall Mounted Indoor Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/08/686708_wm.jpg,80kg,1 Phase,R-32,N,224,9.52 mm,6.35 mm,ASYG09KPCE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,Eco,,,,,,,,,,,,3 Years (Standard),,,,,,,
77,P610085,Fujitsu ASEH12KGTG 3.6KW Hi Spec Wall Mounted Indoor,Fujitsu,282.29,"Designed to suit even the most stylish of settings, the Fujitsu Hi Spec Series 3.6kW single phase indoor air conditioning unit has a sleek, attractive frontage and operates quietly for minimal disturbance. Operating with eco-friendly R32 refrigerant, this Wi-Fi ready unit provides the ideal combination of efficiency, economy and style alongside climate comfort you can rely on.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH12KGTG 3.6KW Hi Spec Wall Mounted Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/85/610085_wm.jpg,10,1,R-32,N,215,.3/8,1/4,ASEH12KGTG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
