,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Weight,Hazardous,Equal / Unequal,Angle,Dimensions (L x W x D),Material,Connection Type 1,Connection Type 2,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Size,Size,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 6,Attachment 7
48,PF91523,Flexseal AC adaptor coupling 121-136/110-121mm,Flexseal,14.58,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 121-136/110-121mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/24/NW-F91522_F91524_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
49,PF25109,Marley Solid Wall Drainage slip coupling 110mm,Marley,10.89,"Suitable for private drainage, this Marley Solid Wall Drainage 110mm adoptable push-fit straight slip coupling in orange quickly and easily joins two pipes together.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage slip coupling 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/09/NW-F25109_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
50,PF91545,Flexseal DC drain coupling 150-165mm,Flexseal,16.8,"Flexseal DC drain coupling is used to connect, repair and maintain drainage systems and other small diameter non-pressure pipelines. It is available to suit any pipe material up to 275mm outside diameter, drain coupling is designed for use in drainage systems where the resistance to earth loads (usually provided by a standard coupling) is not required. This comprises a moulded EPDM sleeve which is attached using grade 1.4301 (304) worm drive stainless steel clamping bands at either end. Flexseal can also supply the product with nitrile sleeves for use with effluent which may be contaminated with hydrocarbons. Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal DC drain coupling 150-165mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/46/NW-F91545_F91546_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Drain_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Flexseal_Declaration_Of_Performance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
51,PF81131,Marley HDPE 45deg tee 110/110mm,Marley,10.75,This Marley HDPE 110mm 45° Y branch tee in black with plain end connections is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley HDPE 45deg tee 110/110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/31/NW-F81131_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
52,PF69098,Polypipe rainwater adaptor 110 x 68mm,Polypipe,5.97,Polypipe Underground Drainage Adaptors are certified to BS 4660:2000 and hold the Kitemark Licence KM59284.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Polypipe rainwater adaptor 110 x 68mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/98/NW-F69098_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,
53,PF80914,Marley HDPE 45deg elbow 110mm,Marley,6.01,"Supplied with solvent weld connections, this Marley HDPE 110mm 45° elbow in black is ideal for commercial use. This high impact fitting offers excellent abrasion resistance.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley HDPE 45deg elbow 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/14/NW-F80914_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
54,PF91620,Flexseal adaptor coupling,Flexseal,7.5,"Particularly suitable where visible, this Flexseal 58 to 50mm straight coupling is made of a durable, high quality thermoplastic compound in a black finish. This PVC coupling offers dimensional flexibility for a leak-proof seal on any pipe material.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal adaptor coupling,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/20/NW-F91620_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_PVC_Flexible_Coupling_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_PVC_Plumbing_Couplings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Couplings_Datasheet.pdf,,,,,,,,,,,,
55,PF91530,Flexseal AC adaptor coupling 100-115/110-125mm,Flexseal,16.33,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 100-115/110-125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/30/NW-F91530_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
56,PF91595,Flexseal EPDM Plumbing adaptor coupling 82/92-60/68mm,Flexseal,15.22,"Flexseal EPDM Plumbing adaptor coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing adaptor coupling 82/92-60/68mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/95/NW-F91595_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
57,PF91528,Flexseal AC adaptor coupling 170-192/110-122mm,Flexseal,22.38,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 170-192/110-122mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/28/NW-F91528_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
58,PF91618,Flexseal adaptor coupling,Flexseal,5.33,"Particularly suitable where visible, this Flexseal 45 to 38mm straight coupling is made of a durable, high quality thermoplastic compound in a black finish. This PVC coupling offers dimensional flexibility for a leak-proof seal on any pipe material.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal adaptor coupling,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/18/NW-F91618_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_PVC_Flexible_Coupling_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_PVC_Plumbing_Couplings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Couplings_Datasheet.pdf,,,,,,,,,,,,
59,PF69096,Polypipe universal drain adaptor spigot 110mm,Polypipe,6.42,A comprehensive range of drainage adaptors to complete your drainage system,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Polypipe universal drain adaptor spigot 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/96/NW-F69096_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,
60,PF91594,Flexseal EPDM Plumbing adaptor coupling 304 82-92/48-56mm,Flexseal,14.52,"Flexseal EPDM Plumbing adaptor coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing adaptor coupling 304 82-92/48-56mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/94/NW-F91594_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
61,PF91575,Flexseal AC adaptor coupling 110/122-60/68mm,Flexseal,19.21,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 110/122-60/68mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/75/NW-F91575_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
62,PF81107,Marley HDPE swept entry tee 110/110mm,Marley,11.0,This Marley HDPE 88.5° swept entry elbow in black with 110mm plain end x push-fit x plain end connections is ideal for commercial applications or for use anywhere that high impact or abrasion resistance is needed.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley HDPE swept entry tee 110/110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/07/NW-F81107_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_HDPE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
63,PK83206,AVK Donkin Series 555 bare shaft gas valve PN16 150mm,AVK,1448.99,"Supplied with 150mm flange connections, the AVK Series 555 resilient seat, double-faced gate valve is made of cast iron with a blue transit-coated finish. With a soft seal, internal screw and clear bore, this wedge gate valve is suitable for the isolation of both natural and manufactured gas.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve  is carried out via a threaded stem, turning multiple times to change position.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> AVK Donkin Series 555 bare shaft gas valve PN16 150mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/09/NW-K83206_K83209_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/AVK_Declaration_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AVK_Donkin_Gate_Valves_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/AVK_Donkin_Series_555_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AVK_Donkin_Series_555_GateValve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/AVK_Series_555_Valve_BSI_Certificate.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/re/AVK_Series_555_Valve_Assy_Procedure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/tn/AVK_Series_555_Valves_Oper_Instrctn.pdf
64,PF91508,Flexseal standard coupling 110-121mm,Flexseal,27.18,"Flexseal standard coupling is specifically designed to connect and repair pipes of different materials or sizes used in sewerage, drainage and other underground applications. When excavation work is required to repair a damaged pipe, Flexseal standard coupling will reduces the amount of time required and minor differences in pipe diameter can be accommodated. The combination of a durable design and excellent sealing properties when tightened to the correct torque enable the Flexseal standard coupling to provide a reliable seal on rough pipe surfaces. It can be combined with Flexseal bushes in order to act as an adaptor between pipelines of differing outside diameters. Standard coupling is made from EN681-1 EPDM rubber and has grade 1.4401 (316) stainless steel clamps and shear bands.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal standard coupling 110-121mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/08/NW-F91508_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Flexseal_01_Coupling_EN295_DoP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Flexseal_Declaration_Of_Performance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Standard_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
65,PF51053,Polypipe Terrain 200 universal waste adaptor 110mm,Polypipe,55.84,"Suitable for use in commercial projects, this Polypipe Terrain 110mm universal waste adapter is made of black PVC-u.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Polypipe Terrain 200 universal waste adaptor 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/53/NW-F51053_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,
66,PP82451,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 25mtr Blue,Gps Pe Pipe Systems,273.98,"This GPS PE Pipe Systems Excel SDR11 25M light blue pipe coil with 63mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 25mtr Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,
67,PF25149,Marley Solid Wall Drainage 45degree rodding eye 110mm Black,Marley,76.33,"Suitable for private drainage applications, this Marley Solid Wall Drainage 45° rodding eye is supplied with 110mm socket connections. Orange with a black cover, this fitting creates a handy access point for clearing blockages.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 45degree rodding eye 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/49/NW-F25149_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
68,PF25140,Marley Solid Wall Drainage 45degree triple socket junction 110 x 110mm,Marley,36.45,"Ideal for use in private drainage, this Marley Solid Wall Drainage 45° adoptable equal branch tee in orange has 110mm socket x socket x socket connections. This fitting is used to connect two underground systems together with the socketed branch reducing installation time and ensuring a reliably secure connection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 45degree triple socket junction 110 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/40/NW-F25140_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
69,PF25158,Marley Solid Wall Drainage 45degree double socket bend 110mm,Marley,22.59,"Suitable for private drainage applications, this Marley Solid Wall Drainage 45° adoptable short radius bend in orange is supplied with 110mm push-fit connections. This fitting is used to change the direction of underground systems.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Marley Solid Wall Drainage 45degree double socket bend 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/58/NW-F25158_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_UG_Drainage_System_Brochure.pdf,,,,,,,,,,,,,,,
