,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Hazardous,End Connection A size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Diameter,Feature 1,Feature 2,Feature 3,Approvals,Feature 4,Feature 5,Weight,Equal / Unequal,End Connection B size,End Connection C size
75,PL80650,Geldbach slip on weld flange PN16 80mm,Geldbach,28.92,This Geldbach BS4504/12 80mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/50/NW-L80650_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
76,PL80880,Marla Tube PN16 black blank flange 300mm,Marla Tube,198.52,"This Marla Tube 300mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 300mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/80/NW-L80880_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
77,PL80150,Geldbach screwed flange PN6 80mm,Geldbach,27.72,This Geldbach BS4504/13 80mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN6 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/50/NW-L80150_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08006/400,Screwed Flange,N,,,,,,,,,,,,
78,PL80535,Geldbach screwed flange PN16 40mm,Geldbach,20.8,This Geldbach BS4504/13 40mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/35/NW-L80535_wm.jpg,Flange,N,40 mm,Carbon Steel,40 mm,Flange,D04016/400,Screwed Flange,N,,,,,,,,,,,,
79,PL81645,Geldbach self coloured sow (BS4504/12) PN16 65mm,Geldbach,54.31,A Geldback 65mm flange.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach self coloured sow (BS4504/12) PN16 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/45/L81640_L81645_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,,D06516/5SC,Flange,N,,,,,,,,,,,,
80,PL80855,Marla Tube PN16 black blank flange 100mm,Marla Tube,26.73,"This Marla Tube 100mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/55/NW-L80855_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
81,PL81545,Geldbach galvanised screwed flange PN16 65mm,Geldbach,29.75,This Geldbach BS4504/13 65mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach galvanised screwed flange PN16 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/45/NW-L81545_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D065164G00,Screwed Flange,N,,,,,,,,,,,,
82,PL81555,Geldbach galvanised screwed flange PN16 100mm,Geldbach,59.02,This Geldbach BS4504/13 100mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach galvanised screwed flange PN16 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/55/NW-L81555_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D100164G00,Screwed Flange,N,,,,,,,,,,,,
83,PL80525,Geldbach screwed flange PN16 25mm,Geldbach,14.18,This Geldbach BS4504/13 25mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/25/NW-L80525_wm.jpg,Flange,N,25 mm,Carbon Steel,25 mm,Flange,D02516/400,Screwed Flange,N,,,,,,,,,,,,
84,PL80155,Geldbach screwed flange PN6 100mm,Geldbach,41.21,This Geldbach BS4504/13 100mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN6 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/55/NW-L80155_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10006/400,Screwed Flange,N,,,,,,,,,,,,
85,PL80666,Geldbach slip on weld flange PN16 6.1/2 150mm,Geldbach,55.59,This Geldbach BS4504/12 165mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 6.1/2 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/66/NW-L80665_L80666_wm.jpg,Flange,N,165 mm,Carbon Steel,165mm,Flange,D16516/500,Slip-On Weld Flange,N,,,,,,,,,,,,
86,PL81650,Geldbach self coloured sow (BS4504/12) PN16 80mm,Geldbach,65.31,A Geldback 80mm flange.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach self coloured sow (BS4504/12) PN16 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/60/L81650_55_60_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,,D08016/5SC,Flange,N,,,,,,,,,,,,
87,PL80145,Geldbach screwed flange PN6 65mm,Geldbach,18.27,This Geldbach BS4504/13 65mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN6 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/45/NW-L80145_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06506/400,Screwed Flange,N,,,,,,,,,,,,
88,PL80840,Marla Tube PN16 black blank flange 50mm,Marla Tube,13.47,"This Marla Tube 50mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/40/NW-L80840_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
