,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Connection Type,Diameter,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Feature 7,Feature 8,Feature 9,Pack Quantity,Depth (mm),Feature 10,Feature 11,Feature 12,Attachment 4,Finish,Weight
62,PE40597,Carrara and Matta blind hole fixing set for top fix,Carrara and Matta,4.4,"Designed to meet European standards, this Carrara and Matta blind hole fixing set for top fix is constructed from high quality materials with rigorous controls and product testing.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Carrara and Matta blind hole fixing set for top fix,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/97/NW-E40597_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carra&Matta_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ul/18/CatA4JUL18.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PC92758,Ideal Standard Conceala 2 pump service kit,Ideal Standard,32.92,"Suitable for Conceala 2 cisterns, this Ideal Standard Conceala 2 pump service kit includes flush valves.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard Conceala 2 pump service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/58/NW-C92758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PB97714,Wirquin Kayla Pneumatic valve with push button,Wirquin,85.12,The easy to install Wirquin Kayla pneumatic dual flush outlet valves with Kara 50/72mm chrome dual flush push button offer water saving part and full flushing.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Wirquin Kayla Pneumatic valve with push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/14/NW-B97714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wirquin_Kayla_Flushing_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PB92198,Thomas Dudley Hydroflo ballvalve,Thomas Dudley,2.31,This Thomas Dudley Hydroflo rubber valve diaphragm is suitable for the Hydroflo inlet float valve.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Hydroflo ballvalve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/98/NW-B92198_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PB97907,"Masefield Epson standard low level flushpipe 24"" x 18"" White",Masefield,3.33,"A Masefield 24 x 18"" standard low-level white PVC flush pipe.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Epson standard low level flushpipe 24"" x 18"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/07/NW-B97907_wm.jpg,,,,N,PTOBEN363702,Flush Pipe,N,High quality white PVC,"24 x 18"" size",,,,,Epson,,,,,,,,,,,,,,,,,,,,
67,P171887,"Fluidmaster Airgap 6000 side entry delayed plastic shanked fill valve 1/2""",Fluidmaster,18.19,"Suitable for mains and gravity systems, the Fluidmaster Airgap 6000 series 1/2"" fill valve with plastic shank, side entry and delayed action fills a cistern fast, even at pressures as low as 0.1 bar.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Airgap 6000 side entry delayed plastic shanked fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/87/NW-171887_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Airgap6000_F-Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PB00305,Viva Sanitary long slinky-fit WC pan connector,Viva Sanitary,16.1,"The ultra-flexible Viva Sanitary long slinky-fit flexible toilet pan connector is wire reinforced for unbeatable strength and stability. With the incorporated Smart-Flo design extension tube sediment build-up is prevented, reducing the risk of blockages.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Viva Sanitary long slinky-fit WC pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/05/B00305_wm.jpg,,,,N,PP0002,Pan Connector,N,Extremely flexible,Wire reinforced for life long stability,Smart-Flo design extension tube,"Suitable for all 4""/110mm PVC-U and cast iron soil pipes",90 - 107mm inlet fits all toilet pan spigots,High quality polypropylene,Flexible Pan Connector,,,,,,,,,,,,,,,,,,,,
69,PC01156,Thomas Dudley Dudley cistern hole stop jam nut 19mm White,Thomas Dudley,0.43,This overflow stopper covers up unwanted holes in a cistern.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Dudley cistern hole stop jam nut 19mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/56/C01156_wm.jpg,,,,N,PTOSTO367198,Overflow Stopper,N,Supplied with locknut for secure fitting,"To suit 19mm (3/4"") hole",Easy to fit,,,,Dudley,,,,,,,,,,,,,,,,,,,,
70,PB03470,Thomas Dudley stepped rubber valve sealing washer for niagara,Thomas Dudley,5.0,This Dudley outlet seal is suitable for use with the Dudley Vantage concealed cistern.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley stepped rubber valve sealing washer for niagara,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/71/NW-B03470_B03471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Dudley_Bathroom_Product_Pocket_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Dudley_Bathroom_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,P257470,Center uni flushpipe connector 32-38 mm,Center,6.25,"Creating a leak-free external seal between cistern and WC pan, this Center 32 - 38mm universal flush pipe connector is suitable for use on most toilets.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center uni flushpipe connector 32-38 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/70/257470_wm.jpg,,,,N,PTOFLO374539,Flush Pipe Connector,N,Plasticised PVC and rubber construction,For external use,Universal design,Suitable for 38mm and 32mm connections,Easy installation,,,,,,,,,,,,,,,,,,,,,,
72,PC01123,19MM (3/4IN) GAUZE FILTER WASHER,Masefield,1.1,"A replacement for worn fittings, these Masefield Epson 19mm gauze filter washers are suitable for toilet service and hose use. Manufactured using high quality materials, Epson washers are available in a range of commonly used sizes.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> 19MM (3/4IN) GAUZE FILTER WASHER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/23/C01123_wm.jpg,,,,N,PWASER368014,Washer,N,Gauze filter washer only,3/4 IN,4 mm thick,,,,Epson,,,,,,,,,,,,,,,,,,,,1.00000
73,P171880,"Fluidmaster Airgap 6000 bottom entry non delayed brass shanked fill valve 1/2""",Fluidmaster,23.17,"Suitable for mains and gravity systems, the Fluidmaster Airgap 6000 series 1/2"" fill valve with brass shank, bottom entry and non-delayed action fills a cistern fast, even at pressures as low as 0.1 bar.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Airgap 6000 bottom entry non delayed brass shanked fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/80/NW-171880_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Airgap6000_F-Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PU94995,Geberit geberit instal set+power supply unit 12v,Geberit,123.51,"Essential for WC flush controls with electronic actuation, the Geberit 12V installation set and power supply unit ensures efficient operation of electronic flush systems and DuoFresh modules by transforming mains voltages to ultra-low 12 V DC. Easy to install, this reliable set-up is ideal for modernisation schemes, helping to provide safe and reliable electronic flushing.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Geberit geberit instal set+power supply unit 12v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/95/U94995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/U94995_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/U94995_Tech_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PC59049,6MM X 13MM LOW PRESSURE SEATING RED,Masefield,0.36,This Masefield 6 x 13mm low pressure ball valve seating is manufactured using high quality materials. A range of alternative sizes and pressures is available to suit all Beta ball valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> 6MM X 13MM LOW PRESSURE SEATING RED,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/49/C59049_wm.jpg,,,,N,PBRINS370215,Low Pressure Seating,N,High quality manufacture,Red colour,Range of sizes available,,,,,,,,,,,,,,,,,,,,,,,,
76,PB98086,"Geberit 380AG fill valve, bottom connection",Geberit,22.4,"Easy to install, this Geberit Type 380AG fill valve is compatible with Geberit bottom supply exposed cisterns manufactured since 1964, as well as a wide range of cisterns made by other manufacturers, meaning there's no need to completely replace a cistern just because of a broken fill valve.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Geberit 380AG fill valve, bottom connection",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/86/B98086_wm.jpg,,,,N,281.221.00.1,Fill valve type 380AG,N,"For Geberit exposed cisterns with 1/2"" bottom supply connection",For Geberit low-height concealed ceramic cisterns,"For greywater (rainwater) with pH value 6.0 – 9.5, if filter system is used",Suitable for potable water,Adjustable filling height,Bottom water supply connection,,,,,,,,,,,With plastic threaded nipple,Backflow prevention type AG (free outlet with overflow),Flow pressure 0.1 - 10 bar,,,Maximum storage temperature of 40°C,Maximum operating temperature of 25°C,"Fulfils requirements in accordance with BS 1212-4:2016, WRAS Section 2075",,,
77,PB97736,Macdee overflow washer,Macdee,3.3,This Macdee overflow sealing washer is for use with the M25 flush valve.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Macdee overflow washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/36/NW-B97736_wm.jpg,,,,N,10717748,Sealing Washer,N,For use with Jollyflush flush valve,Also compatible with Nabis cable flush valve,,,,,,,,,,,,,,,,,,,,,,,,,
78,PD44888,Roca PL1 professional dual operating plate P1 Chrome,Roca,41.76,"Ideal for public bathrooms, the Roca PL1 operating panel plate with two buttons is suitable for concealed toilet cisterns.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca PL1 professional dual operating plate P1 Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/88/NW-D44888_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Roca_RIS_Duplo_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Roca_PL1_890095001_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_PL1_Dual_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PB03469,Thomas Dudley rubber valve sealing washer for pinto valve,Thomas Dudley,4.84,This Dudley sealing washer is designed for use with Thomas Dudley Pinto flush valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley rubber valve sealing washer for pinto valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/69/NW-B03469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Dudley_Bathroom_Product_Pocket_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Dudley_Bathroom_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PB94510,"Wirquin Metro Rapid 3-piece round bell syphon 9""",Wirquin,16.49,"The Wirquin Metro Rapid 9"", three piece round siphon offers easy maintenance and replacement with no need to remove cistern via an easy to take out upper section.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Wirquin Metro Rapid 3-piece round bell syphon 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/10/NW-B94510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PC93212,Ideal Standard Conceala 2 hose adaptor,Ideal Standard,6.66,The Ideal Standard Conceala 2 float valve adapter is used with inlet valve SV80367 when replacing the SV04667 inlet valve.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard Conceala 2 hose adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/12/NW-C93212_wm.jpg,,,,N,SV96667,Hose Adapter,N,Suitable for Conceala 2 cisterns,,,,,,Conceala 2,,,,,,,,,,,,,,,,,,,,
82,PB92131,"Thomas Dudley Hydroflo compact float inlet vlave 8.5""",Thomas Dudley,23.86,"This Thomas Dudley Hydroflo 8.5"" bottom inlet compact float valve is a suitable replacement for most exposed and concealed cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Hydroflo compact float inlet vlave 8.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/37/NW-B92130_B92137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PD08205,Roca In-Wall roca basic tank l ag,Roca,141.2,"Measuring 465 x 535 x 138mm, this Roca In-Wall L basic tank with AG valve (under window) 820mm high concealed cistern is suitable for installation with floor standing back-to-wall WCs. Convenient and efficient, this system is a great space-saver.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca In-Wall roca basic tank l ag,,Basic tank;AG valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/NW-D08205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D08205_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D08205_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,P171881,"Fluidmaster Airgap 6000 side entry non delayed brass shanked fill valve 1/2""",Fluidmaster,19.69,"Suitable for mains and gravity systems, the Fluidmaster Airgap 6000 series 1/2"" fill valve with brass shank, side entry and non-delayed action fills a cistern fast, even at pressures as low as 0.1 bar.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Airgap 6000 side entry non delayed brass shanked fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/81/NW-171881_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Airgap6000_F-Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,P171191,Fluidmaster Pro Series PRO750UK spare lever,Fluidmaster,8.09,This Fluidmaster replacement cistern lever is for use with the Fluidmaster PRO750UK dual flush valve.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Pro Series PRO750UK spare lever,,Cistern Lever ;back nut,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/171191_wm.jpg,,,,N,C519,Spare Lever,N,Chrome finish,Half and full flush indices for ease,With backnut,,,,Pro Series,,,,,,,,,,,,,,,,,,,,
86,PD44894,Roca Meridian-N cistern internal pack,Roca,72.13,This Roca Meridian-N toilet cistern fittings pack helps to make fitting of a Meridian-N WC simple.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca Meridian-N cistern internal pack,,AH0007500R,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/94/NW-D44894_wm.jpg,,,,N,H0007500R,Fittings Pack,N,For use with Roca toilet cisterns,Suitable for fitting the Meridian-N,,,,,Meridian N,,,,,,,,,,,,,,,,,,,,
87,PB98090,Geberit 240 dual flush valve,Geberit,46.55,"A complete kit, this Geberit Type 240 flush valve set includes gloss chrome dual flush push-buttons and fixings. Suitable for use in ceramic cisterns made by most manufacturers, this universal flush valve is a suitable replacement for an existing Type 230 or Type 240 valve. Offering easy installation, the Type 240 flush valve is adjustable from 305mm to 460mm in height.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Geberit 240 dual flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/90/B98090_wm.jpg,,,,N,136.909.21.2,Dual Flush Valve Set,N,For ceramic cisterns,Suitable for potable water,"Suitable for greywater (rainwater) with pH value 6.0 – 9.5, if filter system is used",Dual flush operation,Height-adjustable use,6 - 9/3 - 4.5L flush volume set depending on amount of water in cistern,,,,,,,,,,,Overflow pipe can be shortened,With lid attachment,Fixings included,,,With glossy chrome-plated dual flush buttons,Maximum operating temperature of 25°C,,,,
88,PB92119,"Thomas Dudley Turbo S44R syphon 7/9ltr 229mm 9""",Thomas Dudley,33.95,"Suitable for high and low level use, the Thomas Dudley Turbo S44R 9"" two part siphon can be used as a replacement in most lever operated ceramic or concealed cisterns. The two part design of this smart siphon makes maintenance easy, simply lifting out with no need to turn off water and take the cistern apart, meaning that servicing can be completed in five minutes.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo S44R syphon 7/9ltr 229mm 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/19/NW-B92119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,P171882,"Fluidmaster Airgap 6000 bottom entry delayed brass shanked fill valve 1/2""",Fluidmaster,23.55,"Suitable for mains and gravity systems, the Fluidmaster Airgap 6000 series 1/2"" fill valve with brass shank, bottom entry and delayed action fills a cistern fast, even at pressures as low as 0.1 bar.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Fluidmaster Airgap 6000 bottom entry delayed brass shanked fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/82/NW-171882_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Airgap6000_F-Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PB92128,Thomas Dudley Turbo 88 spares pack,Thomas Dudley,6.07,A Thomas Dudley Turbo 88 high two part siphon spare pack.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo 88 spares pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/28/NW-B92128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,P257479,"Center cistern hole stopper 1/2"" Chrome",Center,3.34,"Suitable for 13mm/1/2"" holes, the Center 1/2"" cistern hole stopper covers unwanted holes left behind by float valves. Made of chrome, this stopper is supplied with a locking nut to ensure secure fitting.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center cistern hole stopper 1/2"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/79/257479_wm.jpg,,,,N,PPSCHA374429,Cistern Spares,N,Chrome finish,Suitable for 13mm hole,Supplied with locknut,Offers easy fitting,,,,,,,,,,,,,,,,,,,,,,,
92,PB03471,Thomas Dudley rubber valve sealing washer for niagara,Thomas Dudley,9.31,This Dudley outlet seal is suitable for use with the Dudley Niagara flush valve.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley rubber valve sealing washer for niagara,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/71/NW-B03470_B03471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Dudley_Bathroom_Product_Pocket_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Dudley_Bathroom_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
