,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Colour,Material,Size,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Diameter,Connection Type,Length (M),Warranty
64,PN39702,Rothenberger Minicut 2000 minicut 2000 tube cutter 3-22mm,Rothenberger,27.05,"This Rothenberger tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 3 - 22mm diameters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Minicut 2000 minicut 2000 tube cutter 3-22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/02/NW-N39702_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
65,P519475,Wavin Wavin Hep2O HX78/15W hepkey 15mm,Wavin,0.35,"Made of polybutylene (PB), this Wavin Hep2O HX78 15mm HepKey demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Wavin Hep2O HX78/15W hepkey 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/75/NW-519475_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,
66,P688779,Rothenberger Gratfix deburring tool,Rothenberger,27.31,"This Rothenberger Gratfix deburring tool is designed for use on tubes, pipes and the edges of metal sheets.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Gratfix deburring tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/79/NW-688779_wm.jpg,,Gratfix,N,,21655,Deburring Tool,N,Suitable for,Copper,Steel,,,Stainless Steel BladePlastic Handle,1 (Dia) x 7 (L),Deburring of Edges Pipes Steel Aluminium Brass Copper sheets Cast Iron Plastic plates Internal reamer,Brass,Aluminium,Sheet plastic,Replacement blade available,,,,,,,,,,,,,1 year
67,PT64056,Rothenberger Pipeslice Cutter Wheel 8.8803 pipe slice cutter wheel,Rothenberger,3.29,"This Rothenberger replacement cutting wheel or blade is for a pipe slice copper tube cutter. It is compatible with 15, 22 and 28mm diameter pipes.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Pipeslice Cutter Wheel 8.8803 pipe slice cutter wheel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/56/NW-T64056_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
68,PN39440,Rothenberger copper tube cutter 6-35mm,Rothenberger,61.46,"This robust and effective Rothenberger 70027R tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 6 - 35mm size. Allowing for continuous operation and a smooth finish, the cutter contains a retractable internal pipe deburrer and spare cutter wheel in its handle.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger copper tube cutter 6-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/40/NW-N39440_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
69,PN39444,Rothenberger machined groove plier 12mm,Rothenberger,34.99,"Made of steel with a plastic handle, these Rothenberger 300mm grooved water pump pliers incorporate a hard-toothed jaw designed to open up to 60mm.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger machined groove plier 12mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/44/NW-N39444_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
70,PN11061,"Rothenberger Minibender mini bender 1/4-5/16-3/8""",Rothenberger,40.52,"The Rothenberger Minibender tube bender is a two-handed tool for precise bending of soft copper, brass and aluminium tubes. Suitable for use in refrigeration, climate control, oil supply, automobile, hydraulic and air pressure systems, it has a compact design and offers three tube sizes with tight bending radii and a minimum measurement and bending radius display.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Minibender mini bender 1/4-5/16-3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/61/NW-N11061_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
71,PN39442,"Rothenberger SPK water pump plier 7"" Black",Rothenberger,23.46,"Made of steel, these Rothenberger SPK 175mm water pump pliers have jaws opening up to a maximum of 34mm.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger SPK water pump plier 7"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/43/NW-N39442_N39443_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
72,P519474,Wavin Wavin Hep2O HX78/10W hepkey 10mm,Wavin,0.31,"Made of polybutylene (PB), this Wavin Hep2O HX78 10mm HepKey demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Wavin Hep2O HX78/10W hepkey 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/74/NW-519474_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,
73,PN05002,Monument MON1810 autocut pipe cutter 10mm,Monument,20.08,"Ideal for cutting pipes in hard to access spots, this Monument MON1810 pipe cutter cuts copper pipe up to 10mm in diameter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Monument MON1810 autocut pipe cutter 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/02/NW-N05002_wm.jpg,,,N,,MON1810,Pipe Cutter,N,For cutting copper pipes in awkward places,Cuts only exact size of copper pipe,Not for use on stainless steel,,,Metal,10mm,For Copper Pipes in Awkward Places,Cuts in single direction,With ratchet handles,,,,,,,,,,,,,,,
74,PT86469,Virax tube cutter 6-35mm,Virax,20.25,"Easy to use, this Virax tube cutter has a soft touch, slip-free knob for comfort precision. It is designed to cut tubes from 3 - 35mm in diameter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Virax tube cutter 6-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/69/NW-T86469_wm.jpg,,,N,,210443R,Tube Cutter,N,"Soft touch, non-slip knob",Fast action adjustment,"Quick, tool-less wheel change",,Black / Red,,165 mm (L) x 64 mm (H),For 3-35mm Dia Tubes,4x guide rollers prevent wheel tracking,Retractable rotating reamer with interchangeable blades,Grooved rollers for cutting tight against flanges,Colour-coded end cap indicates material to be cut,,,,,,,,,,,,,
75,PT86886,Rothenberger Cutting 3 piece pipe slice kit with case 15-22-28mm,Rothenberger,74.16,"Allowing for effortless one-handed use, this Rothenberger pipe slice kit accurately cuts 15, 22 and 28mm copper tube. Rotating within its own radius, this tool can be used in tight, hard to access places and has an automatic self-clamping action for smoother cutting with no risk of deformation.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Cutting 3 piece pipe slice kit with case 15-22-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/86/NW-T86886_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
76,PT85909,Rothenberger universal tube cutter wheels,Rothenberger,5.83,"Made of tough steel, this Rothenberger cutting wheel is suitable for cutting copper, brass, aluminium and thin-walled steel pipes with 6 - 35mm diameters in combination with a tube cutter.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger universal tube cutter wheels,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/09/NW-T85909_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
77,P690498,"Rothenberger eccentric flare tool kit 1/8-3/4""",Rothenberger,199.44,"This Rothenberger Deluxe flaring tool produces precision 45° single flares on copper tubes certified for R410A. With a spring-loaded slide coupling there's no reduction in wall thickness while the clutch mechanism ensures perfect flares. The tool's flare cone rotates off-centre in needle bearings and allows for controlled expanding and shaping of the tube end without tearing. Drill driven, the Rotherburger Deluxe can produce fast and consistent flares in high-volume environments.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger eccentric flare tool kit 1/8-3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/98/NW-690498_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
78,P519414,Wavin Wavin Hep2O HX79/28W hepkey plus 28mm,Wavin,0.45,"Made of polybutylene (PB), this Wavin Hep2O HX79 28mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Wavin Hep2O HX79/28W hepkey plus 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/14/NW-519414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,
79,PM90866,Geberit Mapress 91087 pipe cutter 12-35mm,Geberit,90.86,"Made of steel, this Geberit Mapress pipe cutter cuts pipes with 12 - 35mm diameters. A spare cutting wheel is contained in the handle for convenience.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Geberit Mapress 91087 pipe cutter 12-35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/66/NW-M90866_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,,,,,,
80,PT85915,Rothenberger Rotrac copper tube cutter 3-42mm,Rothenberger,64.61,"This robust Rothenberger Rotrac 70011 tube cutter cuts copper, brass, aluminium and thin-walled steel pipes in 6 - 42mm sizes. Fitted with an internal deburrer, this tool provides a smooth, ready to use finish.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rotrac copper tube cutter 3-42mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/15/NW-T85915_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
81,P517758,JG Speedfit pipe cutter up to 22mm,JG Speedfit,31.38,This JG Speedfit pipe cutter offers clean cutting of barrier pipes up to 22mm.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> JG Speedfit pipe cutter up to 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/58/NW-517758_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_PipeConnection_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/JG_Speedfit_Plumbing_Product_Guide.pdf,,,,
82,PN83310,Rems Akku-Press 14V ACC 99-110R akku-press 15-54 set,Rems,4050.23,"A cordless radial pressing tool, the REMS Akku-Press 14V ACC is perfect for working overhead or in awkward confined spaces thanks to its compact design. Suitable for creating the commonly used press fittings of 10 - 54mm and for all REMS pressing and cropping tongs (except mini-tongs), the portable ACC press fits with a single button, compressing via closed jaws before opening again, ready for the next press.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rems Akku-Press 14V ACC 99-110R akku-press 15-54 set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/10/NW-N83310_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rems_Power_Akku_Mini_Ax-Press_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
83,P688908,"Rothenberger Minibender multi bender outer diameter 1/2-5/8-3/4-7/8""",Rothenberger,96.64,This Rothenberger Minibender industrial standard portable tube bender is suitable for copper and light grade stainless steel.,"Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Minibender multi bender outer diameter 1/2-5/8-3/4-7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/08/NW-688908_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
84,PT86329,Rothenberger MINICUT I PRO no.1 professional tube cutter 3-16mm,Rothenberger,19.46,"This Rothenberger tube cutter cuts copper, brass, aluminium and thin-walled steel pipes of 3 - 16mm diameters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger MINICUT I PRO no.1 professional tube cutter 3-16mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/29/NW-T86329_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
85,P591481,Wavin Hep2O Hx77 Heptool 15-22,Wavin,1.71,"This Wavin Hep2O HX77 15 - 22mm Hepkey is used for the secure demounting of Hep2O fittings. It simply clips onto a fitting and holds the grab ring in its release position while you remove the connection. A unique system for reliable push-fit jointing, Hep2O offers joint recognition, secure demounting and a leak-free guarantee.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Hep2O Hx77 Heptool 15-22,,10 tools,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/81/591481_wm.jpg,,,N,,HX77/15W,Demounting tool,N,For secure demounting of Wavin Hep2O push-fit system,"Clips onto Hep2O fitting, holding grab-ring in its release position",Hep2O is suitable for hot and cold systems,,Silver,Stainless Steel,15 x 22mm,Use to demount Wavin Hep2O fittings,System has In4Sure joint recognition for secure joints,System guarantees leak-free security,Colour-coded packaging for easy identification,"Green 10mm, blue 15mm, purple 22mm and orange 28mm",BS EN 7291 parts 1 and 2,WRAS approved,,,,,,,,,,,
86,P519480,Hep2O Wavin Hep2O HX77 heptool demounting tool 10 mm - 28 mm,Hep2O,2.09,"This Wavin Hep2O HX77 10 - 28mm Hepkey is used for the secure demounting of Hep2O fittings. It simply clips onto a fitting and holds the grab ring in its release position while you remove the connection. A unique system for reliable push-fit jointing, Hep2O offers joint recognition, secure demounting and a leak-free guarantee.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Hep2O Wavin Hep2O HX77 heptool demounting tool 10 mm - 28 mm,,10 tools,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/80/519480_wm.jpg,,Wavin Hep2O,N,,HX77/10W,Demounting tool,N,For secure demounting of Wavin Hep2O push-fit system,"Clips onto Hep2O fitting, holding grab-ring in its release position",Hep2O is suitable for hot and cold systems,,Silver,Stainless Steel,10 x 28mm,Use to demount Wavin Hep2O fittings,System has In4Sure joint recognition for secure joints,System guarantees leak-free security,Colour-coded packaging for easy identification,"Green 10mm, blue 15mm, purple 22mm and orange 28mm",BS EN 7291 parts 1 and 2,WRAS approved,,,,,,,,,,,
87,P231592,Rothenberger Pipeslice Copper Tube Cutter 15mm,Rothenberger,15.0,"The Rothenberger 15mm pipe slice kit offers effortless single-handed cutting of 15mm copper pipes for plumbing applications. A compact design, this slice is ideal for working in confined spaces, such as under sinks, in walls or beneath floorboards. Automatically adjusting and locking on, the tool has a self-clamping action to ensure smooth, deformation-free cutting.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Pipeslice Copper Tube Cutter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/53/T64053_wm.jpg,,,N,,231592 PK,Tube Cutter,N,Suitable for single-handed operation,Ideal for use in confined spaces,Easy-change replaceable cutter wheels,,,,160 mm (L) x 100 mm (W) x 45 mm (H),Cuts 15mm Copper Tube,Automatic adjustment and lock-on,,,,,,,,,,,,,,,,
88,PN39445,Rothenberger No.30 professional copper tube cutter 3-22mm,Rothenberger,27.16,"The Rothenberger No. 30 professional copper tube cutter is suitable for cutting pipes with diameters of 3 to 30mm ready for connection. A two-in-one tool capable of cutting close to flares for reduced waste, No. 30 has a foldable internal deburrer and a spare cutter hidden inside the handle.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger No.30 professional copper tube cutter 3-22mm,,1x Tube Cutter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/45/N39445_wm.jpg,,No.30,N,,71019,Cutting Tools,N,Robust steel construction,Cust Ø3 - 30mm pipes to prepare pipe connections,With foldable internal deburrer,,Black / Red,Steel,3 - 30 mm,Pipe Cutting,Spare cutter in handle,Cuts near flares to save material,,,,,,,,,,,,,,,
89,PK74482,JET Range 55 plus 513 3 way key,JET Range,28.89,A JET Range 55 + 51 three-way key.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> JET Range 55 plus 513 3 way key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/82/NW-K74482_wm.jpg,,,N,,104077,3-way Key,N,For three-way use,,,,,,,,,,,,,,,,,,,,,,,,
90,PCA5598,Rothenberger mini pipe bender,Rothenberger,19.48,"The Rothenberger Microbender offers precision microbore bending right up to 180°. Ideal for creating bends in pipes that are required to turn corners, this tool bends smaller diameter pipes of 6 to 10mm. The Microbender's compact, neat design makes it an easy tool to pack into your tool bag, meaning it's always on hand for those unexpected bending jobs.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger mini pipe bender,,1x Microbender,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/98/CA5598_wm.jpg,,,N,,25150,Cutting Tools,N,Alloy steel construction,Suitable for 6 - 10mm,Compact design,,White / Red,Alloy Steel,"6, 8, 10 mm",Pipe Bending,For precision bending,Allows for microbore bending to 180°,With calibrated former and guide,,,,,,,,,,,,,,
