,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Weight,Material Type,Operating Temperature,Range,Warranty,Material,Size,Feature 5,Colour,Seal Material,Diameter
49,PK16558,Crane y-strainer PN16 50mm (BSP) Bronze,Crane,635.43,"This Crane D298 Y-strainer is made of bronze and incorporates 2"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 50mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,,,,,,,,,,,,,
50,PK16532,Crane y-strainer PN16 65mm Cast Iron,Crane,598.56,"Suitable for use with wholesome (potable) water, this Crane FM276 Y-strainer is made of ductile iron with an internal epoxy powder coating and includes 65mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 65mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-K16531_K16538_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_276W_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_FM276_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CI_MI_Bronze_Strainer_Install.pdf,,,,,,,,,,,,,
51,PK75520,Socla strainer (WRAS) 80mm Cast Iron,Socla,1012.14,"This 76N Y-strainer is made of cast iron with 80mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Socla strainer (WRAS) 80mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/23/NW-K75518_K75523_wm.jpg,80 mm,Flange,N,149B3263,Y-Strainer,N,Operating temperature 0 - 100°C,Flanged connections,Stainless steel strainer screen,,,,,,,,,,0 to 100,,,Ductile Iron,,,,Fibre,
52,PK30511,Pegler Yorkshire strainer PN16 100mm Cast Iron,Pegler,514.13,"This Pegler Yorkshire V912 Y-strainer is made of ductile iron and includes 100mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer PN16 100mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/11/NW-K30511_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/PY_V912_Cast_Iron_Y_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,,,
53,PK75518,Socla strainer 50mm Cast Iron,Socla,688.22,"This 76N Y-strainer is made of cast iron with 50mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Socla strainer 50mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/23/NW-K75518_K75523_wm.jpg,50mm,Flange,N,149B3261,Y-Strainer,N,Operating temperature 0 - 100°C,Flanged connections,Stainless steel strainer screen,KIWA Regulation 4 (KUKreg4) Certified,,,,,,,,,0 to 100,,,Cast Iron,,Complies with Regulation 4(1)a of the Water Supply (Water Fittings) Regulations 1999 England & Wales: 2009 Northern Ireland and 2014 Byelaws Scotland,,Fibre,56 mm
54,PK06612,Hattersley ductile iron Y-strainer PN16 65mm,Hattersley,480.11,"This Hattersley Fig. 822 Y-strainer is made of ductile iron and features 65mm flange connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Hattersley ductile iron Y-strainer PN16 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/14/NW-K06612_K06614_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_Fig822_922_810_910_Y_Tech.pdf,,,,,,,,,,,,,,,,
55,PK16553,Crane y-strainer PN16 15mm (BSP) Bronze,Crane,107.24,"This Crane D298 Y-strainer is made of bronze and incorporates 1/2"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 15mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,,,,,,,,,,,,,
56,PK16555,Crane y-strainer PN16 25mm (BSP) Bronze,Crane,180.65,"This Crane D298 Y-strainer is made of bronze and incorporates 1"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 25mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,,,,,,,,,,,,,
57,PK30513,Pegler Yorkshire strainer PN16 150mm Cast Iron,Pegler,1234.08,"This Pegler Yorkshire V912 Y-strainer is made of ductile iron and includes 150mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Pegler Yorkshire strainer PN16 150mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/14/NW-K30512_K30514_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/PY_V912_Cast_Iron_Y_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PY_Export_Valves_Catalogue.pdf,,,,,,,,,,,,,,,
58,PK75519,Socla strainer 65mm Cast Iron,Socla,853.41,"This 76N Y-strainer is made of cast iron with 65mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Socla strainer 65mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/23/NW-K75518_K75523_wm.jpg,65 mm,Flange,N,149B3262,Y-Strainer,N,Operating temperature 0 - 100°C,Flanged connections,Stainless steel strainer screen,KIWA Regulation 4 (KUKreg4) Certified,,,,,,,,,0 to 100,,,Ductile Iron,,Complies with Regulation 4(1)a of the Water Supply (Water Fittings) Regulations 1999 England & Wales: 2009 Northern Ireland and 2014 Byelaws Scotland,,Fibre,
59,PK13235,Crane FM276 ductile iron strain with stainless steel elements and flanged connections - 250mm PN16,Crane,6240.8,"This Crane FM276 strainer helps to eliminate the problems and damage that can be caused to pipework by dirt, debris and scale. Fitted with flange connections, the strainer is manufactured in strong ductile iron with stainless steel parts.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane FM276 ductile iron strain with stainless steel elements and flanged connections - 250mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/35/K13235_wm.jpg,250mm,Flange,N,0JG93395W,Strainer,N,Aids elimination of foreign matter in piping systems,Cap tapped and plugged for draining,Stainless steel elements,With flanged connections,,,,,,,,,120,,,Ductile Iron,,,,,
60,PK16537,Crane y-strainer PN16 200mm Cast Iron,Crane,4154.35,"Suitable for use with wholesome (potable) water, this Crane FM276 Y-strainer is made of ductile iron with an internal epoxy powder coating and includes 200mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 200mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-K16531_K16538_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_276W_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_FM276_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CI_MI_Bronze_Strainer_Install.pdf,,,,,,,,,,,,,
